Corrected Customer Question,Corrected Frappe Query
"I need to see Supplier records that have the status having Active, including payment_status and leave_type.","frappe.get_all(""Supplier"", filters={""status"": ""Active""}, fields=[""payment_status"", ""leave_type""])"
"Get me 20 Warehouse records in which status with status Approved, capacity with status greater than 10000, and location with status New York, accompanied by name, capacity, and location, ordered by capacity in descending order.","frappe.get_all(""Warehouse"", filters={""status"": ""Approved"", ""capacity"": ["">"", 10000], ""location"": ""New York""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
"Find and Display Journal Entry records which include status marked as Active, along with status and invoice_date.","frappe.get_all(""Journal Entry"", filters={""status"": ""Active""}, fields=[""status"", ""invoice_date""])"
"Bring up the details of Task records that have status marked as Active, accompanied by company and task_status.","frappe.get_all(""Task"", filters={""status"": ""Active""}, fields=[""company"", ""task_status""])"
Look up records related to all Pricing Rule data stored in the database.,"frappe.get_all(""Pricing Rule"")"
Showcase data for Vehicle records which include quantity marked as value_571.,"frappe.get_all(""Vehicle"", filters={""quantity"": ""value_571""})"
Fetch the full collection of Delivery Note records.,"frappe.get_all(""Delivery Note"")"
Provide Pricing Rule records with pricing_rule_type being value_403.,"frappe.get_all(""Pricing Rule"", filters={""pricing_rule_type"": ""value_403""})"
Display the entire collection of Item entries.,"frappe.get_all(""Item"")"
Can you provide details of Loan records whose inspection_result marked as value_556.,"frappe.get_all(""Loan"", filters={""inspection_result"": ""value_556""})"
"Pull up Purchase Order records that have status marked as Paid and vehicle_type marked as greater than 5000, with details of quantity, invoice_date, and vehicle_type, ordered by creation in descending order.","frappe.get_all(""Purchase Order"", filters={""status"": ""Paid"", ""vehicle_type"": ["">"", 5000]}, fields=[""quantity"", ""invoice_date"", ""vehicle_type""], order_by=""creation desc"")"
Help me find Journal Entry records which include inspection_result marked as value_463.,"frappe.get_all(""Journal Entry"", filters={""inspection_result"": ""value_463""})"
I'd like to see information on the complete lhavingt of Stock Entry entries.,"frappe.get_all(""Stock Entry"")"
List every available Contract document from the database.,"frappe.get_all(""Contract"")"
"Show details of Vehicle records whose status marked as Paid and order_date marked as greater than 5000, with details of stock_uom, currency, and order_date, ordered by creation in descending order.","frappe.get_all(""Vehicle"", filters={""status"": ""Paid"", ""order_date"": ["">"", 5000]}, fields=[""stock_uom"", ""currency"", ""order_date""], order_by=""creation desc"")"
"Show details of Attendance records that have the status being Paid and payment_status being greater than 5000, containing name, inspection_result, and payment_status, ordered by creation in descending order.","frappe.get_all(""Attendance"", filters={""status"": ""Paid"", ""payment_status"": ["">"", 5000]}, fields=[""name"", ""inspection_result"", ""payment_status""], order_by=""creation desc"")"
I'd like to see information on Pricing Rule records stored in the database.,"frappe.get_all(""Pricing Rule"")"
Can you show me a complete List of User documents?,"frappe.get_all(""User"")"
Highlight key details from every Warehouse record stored in the system.,"frappe.get_all(""Warehouse"")"
"Fetch Subscription records which include status being Paid and order_date being greater than 5000, accompanied by expense_amount, customer_name, and order_date, ordered by creation in descending order.","frappe.get_all(""Subscription"", filters={""status"": ""Paid"", ""order_date"": ["">"", 5000]}, fields=[""expense_amount"", ""customer_name"", ""order_date""], order_by=""creation desc"")"
Give me an overview of Lead records stored in the database.,"frappe.get_all(""Lead"")"
Provide a comprehensive lwith status of all Loan entries.,"frappe.get_all(""Loan"")"
Pull up Timesheet records.,"frappe.get_all(""Timesheet"")"
Bring up Quality Inspection records that have inspection_result marked as value_135.,"frappe.get_all(""Quality Inspection"", filters={""inspection_result"": ""value_135""})"
"Give me Loan records that have the status marked as Active, with details of supplier_name and task_status.","frappe.get_all(""Loan"", filters={""status"": ""Active""}, fields=[""supplier_name"", ""task_status""])"
Present the stored details of existing Journal Entry records.,"frappe.get_all(""Journal Entry"")"
Fetch the complete List of Leave Application entries.,"frappe.get_all(""Leave Application"")"
Display the entire collection of Customer entries.,"frappe.get_all(""Customer"")"
"Bring up Employee records that have the status with status Completed, capacity with status greater than 5000, and location with status New York, with details of name, capacity, and location, ordered by capacity in descending order, with a page length of 20.","frappe.get_all(""Employee"", filters={""status"": ""Completed"", ""capacity"": ["">"", 5000], ""location"": ""New York""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
"List Purchase Order records that have department with status HR, status with status Active, from_date with status on or after 2023-09-01, and to_date with status on or before 2024-06-30, with details of employee_name, leave_type, and status, ordered by from_date in ascending order.","frappe.get_all(""Purchase Order"", filters={""department"": ""HR"", ""status"": ""Active"", ""from_date"": ["">="", ""2023-09-01""], ""to_date"": [""<="", ""2024-06-30""]}, fields=[""employee_name"", ""leave_type"", ""status""], order_by=""from_date asc"")"
Fetch the complete List of Pricing Rule documents.,"frappe.get_all(""Pricing Rule"")"
Can you provide a detailed lwith status of all Delivery Note documents?,"frappe.get_all(""Delivery Note"")"
"Uncover records of Project records in which status marked as Paid and supplier_name marked as greater than 5000, with details of stock_uom, payment_status, and supplier_name, ordered by creation in descending order.","frappe.get_all(""Project"", filters={""status"": ""Paid"", ""supplier_name"": ["">"", 5000]}, fields=[""stock_uom"", ""payment_status"", ""supplier_name""], order_by=""creation desc"")"
"Get me information on Sales Invoice records that have status marked as Approved and grand_total marked as greater than 20000, including name, customer, and grand_total, ordered by creation in descending order.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Approved"", ""grand_total"": ["">"", 20000]}, fields=[""name"", ""customer"", ""grand_total""], order_by=""creation desc"")"
"Fetch records for Pricing Rule records with status marked as Active, with details of project_name and task_status.","frappe.get_all(""Pricing Rule"", filters={""status"": ""Active""}, fields=[""project_name"", ""task_status""])"
"Display Leave Application records that have status being Approved, capacity being greater than 10000, and location being San Francbeingco, along with name, capacity, and location, ordered by capacity in descending order, with a page length of 20.","frappe.get_all(""Leave Application"", filters={""status"": ""Approved"", ""capacity"": ["">"", 10000], ""location"": ""San Francisco""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
"Can you show me Purchase Order records which include status with status Active, along with supplier_name and quantity.","frappe.get_all(""Purchase Order"", filters={""status"": ""Active""}, fields=[""supplier_name"", ""quantity""])"
Get me Journal Entry records in which stock_uom with status value_238.,"frappe.get_all(""Journal Entry"", filters={""stock_uom"": ""value_238""})"
"Give me Driver records which include status having Paid and stock_uom having greater than 5000, containing quantity, journal_entry_type, and stock_uom, ordered by creation in descending order.","frappe.get_all(""Driver"", filters={""status"": ""Paid"", ""stock_uom"": ["">"", 5000]}, fields=[""quantity"", ""journal_entry_type"", ""stock_uom""], order_by=""creation desc"")"
"Find Leave Application records that have the status marked as Paid, total marked as greater than 5000, and supplier marked as ABC Pvt Ltd, accompanied by name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Leave Application"", filters={""status"": ""Paid"", ""total"": ["">"", 5000], ""supplier"": ""ABC Pvt Ltd""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
"Bring up Project records that have the status being Paid and journal_entry_type being greater than 5000, along with name, expense_amount, and journal_entry_type, ordered by creation in descending order.","frappe.get_all(""Project"", filters={""status"": ""Paid"", ""journal_entry_type"": ["">"", 5000]}, fields=[""name"", ""expense_amount"", ""journal_entry_type""], order_by=""creation desc"")"
Present the stored details of existing Contract data in the database.,"frappe.get_all(""Contract"")"
Display the entire Project dataset stored.,"frappe.get_all(""Project"")"
Find and display existing Lead records.,"frappe.get_all(""Lead"")"
Get me Warehouse records.,"frappe.get_all(""Warehouse"")"
"Provide Purchase Order records with status marked as Paid, capacity marked as greater than 20000, and location marked as Los Angeles, containing name, capacity, and location, ordered by capacity in descending order, with a page length of 20.","frappe.get_all(""Purchase Order"", filters={""status"": ""Paid"", ""capacity"": ["">"", 20000], ""location"": ""Los Angeles""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
"I need to see Warehouse records that have status being Completed, total being greater than 5000, and supplier being XYZ Corp, along with name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Warehouse"", filters={""status"": ""Completed"", ""total"": ["">"", 5000], ""supplier"": ""XYZ Corp""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
"Display Loan records that have the status marked as Paid and vehicle_type marked as greater than 5000, containing invoice_date, customer_name, and vehicle_type, ordered by creation in descending order.","frappe.get_all(""Loan"", filters={""status"": ""Paid"", ""vehicle_type"": ["">"", 5000]}, fields=[""invoice_date"", ""customer_name"", ""vehicle_type""], order_by=""creation desc"")"
Can you fetch every Loan document?,"frappe.get_all(""Loan"")"
Can you fetch a full List of Subscription records?,"frappe.get_all(""Subscription"")"
"Display Customer records whose status marked as Paid and currency marked as greater than 5000, including amount, employee_name, and currency, ordered by creation in descending order.","frappe.get_all(""Customer"", filters={""status"": ""Paid"", ""currency"": ["">"", 5000]}, fields=[""amount"", ""employee_name"", ""currency""], order_by=""creation desc"")"
Get me Delivery Note records whose amount marked as value_154.,"frappe.get_all(""Delivery Note"", filters={""amount"": ""value_154""})"
Show details of Supplier records that have the stock_uom being value_297.,"frappe.get_all(""Supplier"", filters={""stock_uom"": ""value_297""})"
Get me Sales Invoice records that have customer_name marked as value_366.,"frappe.get_all(""Sales Invoice"", filters={""customer_name"": ""value_366""})"
"Show me relevant data on Leave Application records whose status being Active, with details of status and currency.","frappe.get_all(""Leave Application"", filters={""status"": ""Active""}, fields=[""status"", ""currency""])"
"Can you show me Timesheet records that have the status being Paid and expense_amount being greater than 5000, along with amount, name, and expense_amount, ordered by creation in descending order.","frappe.get_all(""Timesheet"", filters={""status"": ""Paid"", ""expense_amount"": ["">"", 5000]}, fields=[""amount"", ""name"", ""expense_amount""], order_by=""creation desc"")"
"Provide Expense Claim records whose status being Active, including expense_amount and name.","frappe.get_all(""Expense Claim"", filters={""status"": ""Active""}, fields=[""expense_amount"", ""name""])"
"I need to see Employee records in which status marked as Approved, total marked as greater than 10000, and supplier marked as XYZ Corp, along with name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Employee"", filters={""status"": ""Approved"", ""total"": ["">"", 10000], ""supplier"": ""XYZ Corp""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
"Display Task records that have status marked as Paid and project_name marked as greater than 5000, along with stock_uom, task_status, and project_name, ordered by creation in descending order.","frappe.get_all(""Task"", filters={""status"": ""Paid"", ""project_name"": ["">"", 5000]}, fields=[""stock_uom"", ""task_status"", ""project_name""], order_by=""creation desc"")"
Showcase data for every Quality Inspection document.,"frappe.get_all(""Quality Inspection"")"
"Can you show me Purchase Order records in which status marked as Completed, department marked as Sales, and date_of_joining marked as after 2023-01-01, with details of name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Purchase Order"", filters={""status"": ""Completed"", ""department"": ""Sales"", ""date_of_joining"": ["">"", ""2023-01-01""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
"I need to see Warehouse records that have status being Active, department being Finance, and date_of_joining being after 2022-01-01, including name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Warehouse"", filters={""status"": ""Active"", ""department"": ""Finance"", ""date_of_joining"": ["">"", ""2022-01-01""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
Highlight key details from the full List of Timesheet documents.,"frappe.get_all(""Timesheet"")"
"Find and Display Item records in which status marked as Paid and invoice_date marked as greater than 5000, with details of quantity, vehicle_type, and invoice_date, ordered by creation in descending order.","frappe.get_all(""Item"", filters={""status"": ""Paid"", ""invoice_date"": ["">"", 5000]}, fields=[""quantity"", ""vehicle_type"", ""invoice_date""], order_by=""creation desc"")"
"Give me an overview of Purchase Order records that have department marked as HR, status marked as Active, from_date marked as on or after 2023-09-01, and to_date marked as on or before 2023-12-31, accompanied by employee_name, leave_type, and status, ordered by from_date in ascending order.","frappe.get_all(""Purchase Order"", filters={""department"": ""HR"", ""status"": ""Active"", ""from_date"": ["">="", ""2023-09-01""], ""to_date"": [""<="", ""2023-12-31""]}, fields=[""employee_name"", ""leave_type"", ""status""], order_by=""from_date asc"")"
"Can you show me Opportunity records which include status marked as Active, with details of stock_uom and journal_entry_type.","frappe.get_all(""Opportunity"", filters={""status"": ""Active""}, fields=[""stock_uom"", ""journal_entry_type""])"
"Help me find Customer records that have status marked as Active, accompanied by vehicle_type and expense_amount.","frappe.get_all(""Customer"", filters={""status"": ""Active""}, fields=[""vehicle_type"", ""expense_amount""])"
"Locate and display Role records with status marked as Active, accompanied by amount and project_name.","frappe.get_all(""Role"", filters={""status"": ""Active""}, fields=[""amount"", ""project_name""])"
Highlight key details from all Sales Invoice data stored in the database.,"frappe.get_all(""Sales Invoice"")"
Can you provide details of existing Loan records.,"frappe.get_all(""Loan"")"
Fetch all Timesheet entries with details.,"frappe.get_all(""Timesheet"")"
Give me Timesheet records that have name with status value_538.,"frappe.get_all(""Timesheet"", filters={""name"": ""value_538""})"
Look up Pricing Rule records whose stock_uom marked as value_227.,"frappe.get_all(""Pricing Rule"", filters={""stock_uom"": ""value_227""})"
"Give me Customer records whose status with status Active, including customer_name and vehicle_type.","frappe.get_all(""Customer"", filters={""status"": ""Active""}, fields=[""customer_name"", ""vehicle_type""])"
Pull up Supplier records that have the company being value_567.,"frappe.get_all(""Supplier"", filters={""company"": ""value_567""})"
Show every Driver record stored in the system.,"frappe.get_all(""Driver"")"
"Provide Sales Invoice records that have the department marked as Sales, status marked as Active, from_date marked as on or after 2023-06-01, and to_date marked as on or before 2023-10-01, with details of employee_name, leave_type, and status, ordered by from_date in ascending order.","frappe.get_all(""Sales Invoice"", filters={""department"": ""Sales"", ""status"": ""Active"", ""from_date"": ["">="", ""2023-06-01""], ""to_date"": [""<="", ""2023-10-01""]}, fields=[""employee_name"", ""leave_type"", ""status""], order_by=""from_date asc"")"
"Give me Purchase Order records which include status marked as Active, total marked as greater than 20000, and supplier marked as Tech Innovations, along with name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Purchase Order"", filters={""status"": ""Active"", ""total"": ["">"", 20000], ""supplier"": ""Tech Innovations""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
I need to see Expense Claim records that have task_status being value_443.,"frappe.get_all(""Expense Claim"", filters={""task_status"": ""value_443""})"
Help me find Supplier records in which customer_name having value_149.,"frappe.get_all(""Supplier"", filters={""customer_name"": ""value_149""})"
"Can you show me Purchase Order records with status marked as Paid and customer_name marked as greater than 5000, including invoice_date, project_name, and customer_name, ordered by creation in descending order.","frappe.get_all(""Purchase Order"", filters={""status"": ""Paid"", ""customer_name"": ["">"", 5000]}, fields=[""invoice_date"", ""project_name"", ""customer_name""], order_by=""creation desc"")"
"I need to see Journal Entry records with status being Paid and customer_name being greater than 5000, along with stock_uom, quantity, and customer_name, ordered by creation in descending order.","frappe.get_all(""Journal Entry"", filters={""status"": ""Paid"", ""customer_name"": ["">"", 5000]}, fields=[""stock_uom"", ""quantity"", ""customer_name""], order_by=""creation desc"")"
"List User records that have status with status Paid and quantity with status greater than 5000, accompanied by amount, supplier_name, and quantity, ordered by creation in descending order.","frappe.get_all(""User"", filters={""status"": ""Paid"", ""quantity"": ["">"", 5000]}, fields=[""amount"", ""supplier_name"", ""quantity""], order_by=""creation desc"")"
Display all saved Quotation records.,"frappe.get_all(""Quotation"")"
Show details of User records in which inspection_result marked as value_535.,"frappe.get_all(""User"", filters={""inspection_result"": ""value_535""})"
Pull up Opportunity records in which vehicle_type being value_318.,"frappe.get_all(""Opportunity"", filters={""vehicle_type"": ""value_318""})"
"Get me Project records which include status being Active, containing pricing_rule_type and supplier_name.","frappe.get_all(""Project"", filters={""status"": ""Active""}, fields=[""pricing_rule_type"", ""supplier_name""])"
"Find and dbeingplay Payment Entry records in which status being Active, containing pricing_rule_type and quantity.","frappe.get_all(""Payment Entry"", filters={""status"": ""Active""}, fields=[""pricing_rule_type"", ""quantity""])"
Dwith statusplay all saved Role records.,"frappe.get_all(""Role"")"
"Highlight key details from Journal Entry records in which status marked as Active, with details of project_name and expense_amount.","frappe.get_all(""Journal Entry"", filters={""status"": ""Active""}, fields=[""project_name"", ""expense_amount""])"
"Show details of Customer records with status marked as Active, with details of leave_type and stock_uom.","frappe.get_all(""Customer"", filters={""status"": ""Active""}, fields=[""leave_type"", ""stock_uom""])"
"Pull up details for Task records whose status marked as Active, including status and amount.","frappe.get_all(""Task"", filters={""status"": ""Active""}, fields=[""status"", ""amount""])"
Can you lhavingt every single Supplier record available?,"frappe.get_all(""Supplier"")"
"Look up Role records with status marked as Active, along with inspection_result and payment_status.","frappe.get_all(""Role"", filters={""status"": ""Active""}, fields=[""inspection_result"", ""payment_status""])"
"Can you show me Project records whose status being Paid and stock_uom being greater than 5000, including currency, order_date, and stock_uom, ordered by creation in descending order.","frappe.get_all(""Project"", filters={""status"": ""Paid"", ""stock_uom"": ["">"", 5000]}, fields=[""currency"", ""order_date"", ""stock_uom""], order_by=""creation desc"")"
Display the complete List of Supplier records.,"frappe.get_all(""Supplier"")"
"Give me an overview of Pricing Rule records that have status marked as Paid and pricing_rule_type marked as greater than 5000, with details of quantity, expense_amount, and pricing_rule_type, ordered by creation in descending order.","frappe.get_all(""Pricing Rule"", filters={""status"": ""Paid"", ""pricing_rule_type"": ["">"", 5000]}, fields=[""quantity"", ""expense_amount"", ""pricing_rule_type""], order_by=""creation desc"")"
"Pull up Role records whose status marked as Paid and employee_name marked as greater than 5000, with details of stock_uom, inspection_result, and employee_name, ordered by creation in descending order.","frappe.get_all(""Role"", filters={""status"": ""Paid"", ""employee_name"": ["">"", 5000]}, fields=[""stock_uom"", ""inspection_result"", ""employee_name""], order_by=""creation desc"")"
Bring up Role records which include name being value_310.,"frappe.get_all(""Role"", filters={""name"": ""value_310""})"
"Get me Contract records that have status marked as Paid and name marked as greater than 5000, containing supplier_name, stock_uom, and name, ordered by creation in descending order.","frappe.get_all(""Contract"", filters={""status"": ""Paid"", ""name"": ["">"", 5000]}, fields=[""supplier_name"", ""stock_uom"", ""name""], order_by=""creation desc"")"
"Can you show me Subscription records that have status having Active, containing payment_status and inspection_result.","frappe.get_all(""Subscription"", filters={""status"": ""Active""}, fields=[""payment_status"", ""inspection_result""])"
"Give me Contract records whose status being Active, accompanied by amount and journal_entry_type.","frappe.get_all(""Contract"", filters={""status"": ""Active""}, fields=[""amount"", ""journal_entry_type""])"
Show every Pricing Rule record stored in the system.,"frappe.get_all(""Pricing Rule"")"
Find and dhavingplay Delivery Note records that have the inspection_result having value_269.,"frappe.get_all(""Delivery Note"", filters={""inspection_result"": ""value_269""})"
"Get me Stock Entry records in which status being Paid and stock_uom being greater than 5000, along with name, employee_name, and stock_uom, ordered by creation in descending order.","frappe.get_all(""Stock Entry"", filters={""status"": ""Paid"", ""stock_uom"": ["">"", 5000]}, fields=[""name"", ""employee_name"", ""stock_uom""], order_by=""creation desc"")"
Provide all Subscription entries currently available.,"frappe.get_all(""Subscription"")"
"I need to see Attendance records that have status marked as Paid and amount marked as greater than 5000, accompanied by customer_name, inspection_result, and amount, ordered by creation in descending order.","frappe.get_all(""Attendance"", filters={""status"": ""Paid"", ""amount"": ["">"", 5000]}, fields=[""customer_name"", ""inspection_result"", ""amount""], order_by=""creation desc"")"
Can you fetch a full List of Asset records?,"frappe.get_all(""Asset"")"
"Look up Employee records in which status with status Completed, total with status greater than 7500, and supplier with status XYZ Corp, accompanied by name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Employee"", filters={""status"": ""Completed"", ""total"": ["">"", 7500], ""supplier"": ""XYZ Corp""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
"Fetch Employee records whose status marked as Active, department marked as IT, and date_of_joining marked as after 2023-01-01, accompanied by name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Employee"", filters={""status"": ""Active"", ""department"": ""IT"", ""date_of_joining"": ["">"", ""2023-01-01""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
Can you lwith status every single Vehicle record available?,"frappe.get_all(""Vehicle"")"
"Show me relevant data on Purchase Order records which include status with status Approved, total with status greater than 20000, and supplier with status Tech Innovations, along with name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Purchase Order"", filters={""status"": ""Approved"", ""total"": ["">"", 20000], ""supplier"": ""Tech Innovations""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
"Fetch records for Opportunity records that have status marked as Paid and stock_uom marked as greater than 5000, with details of journal_entry_type, status, and stock_uom, ordered by creation in descending order.","frappe.get_all(""Opportunity"", filters={""status"": ""Paid"", ""stock_uom"": ["">"", 5000]}, fields=[""journal_entry_type"", ""status"", ""stock_uom""], order_by=""creation desc"")"
"Show details of Vehicle records which include status being Active, along with stock_uom and order_date.","frappe.get_all(""Vehicle"", filters={""status"": ""Active""}, fields=[""stock_uom"", ""order_date""])"
Can you provide a List of all Opportunity records?,"frappe.get_all(""Opportunity"")"
Show all stored Project data records.,"frappe.get_all(""Project"")"
List every Stock Entry document without filters.,"frappe.get_all(""Stock Entry"")"
Retrieve relevant entries from all Employee documents.,"frappe.get_all(""Employee"")"
"Can you show me User records that have the status being Active, along with leave_type and customer_name.","frappe.get_all(""User"", filters={""status"": ""Active""}, fields=[""leave_type"", ""customer_name""])"
Get me Quality Inspection records which include pricing_rule_type marked as value_249.,"frappe.get_all(""Quality Inspection"", filters={""pricing_rule_type"": ""value_249""})"
Locate and display every Sales Invoice document.,"frappe.get_all(""Sales Invoice"")"
Give me all Purchase Order details available.,"frappe.get_all(""Purchase Order"")"
Provide a full dataset of Supplier records.,"frappe.get_all(""Supplier"")"
Display all Driver documents currently stored.,"frappe.get_all(""Driver"")"
Fetch all Timesheet documents from the database.,"frappe.get_all(""Timesheet"")"
"I need to see the Warehouse records which include status marked as Approved, total marked as greater than 20000, and supplier marked as XYZ Corp, containing name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Warehouse"", filters={""status"": ""Approved"", ""total"": ["">"", 20000], ""supplier"": ""XYZ Corp""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
"Display Employee records which include status marked as Paid, capacity marked as greater than 10000, and location marked as Chicago, along with name, capacity, and location, ordered by capacity in descending order, with a page length of 20.","frappe.get_all(""Employee"", filters={""status"": ""Paid"", ""capacity"": ["">"", 10000], ""location"": ""Chicago""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
Can you fetch every User document?,"frappe.get_all(""User"")"
"Find Warehouse records in which department being HR, status being Paid, from_date being on or after 2023-09-01, and to_date being on or before 2023-12-31, along with employee_name, leave_type, and status, ordered by from_date in ascending order.","frappe.get_all(""Warehouse"", filters={""department"": ""HR"", ""status"": ""Paid"", ""from_date"": ["">="", ""2023-09-01""], ""to_date"": [""<="", ""2023-12-31""]}, fields=[""employee_name"", ""leave_type"", ""status""], order_by=""from_date asc"")"
"Find Purchase Order records that have status marked as Completed, total marked as greater than 20000, and supplier marked as XYZ Corp, containing name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Purchase Order"", filters={""status"": ""Completed"", ""total"": ["">"", 20000], ""supplier"": ""XYZ Corp""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
