Unnamed: 0,Corrected Customer Question,Corrected Frappe Query
246,Could you show me the child entries in Project?,"for child_doc in frappe.get_doc(""Project"", ""ID-018"").get_children():
    print(child_doc.name)"
250,Retrieve all child records for Expense Claim.,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-025"").get_children():
    print(child_doc.name)"
252,Retrieve all child records for Loan.,"for child_doc in frappe.get_doc(""Loan"", ""ID-022"").get_children():
    print(child_doc.name)"
255,Could you show me the child entries in Opportunity?,"for child_doc in frappe.get_doc(""Opportunity"", ""ID-006"").get_children():
    print(child_doc.name)"
260,"I need the child records from Loan, can you get that?","for child_doc in frappe.get_doc(""Loan"", ""ID-029"").get_children():
    print(child_doc.name)"
264,Can you let me know the child entries of Warehouse?,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-048"").get_children():
    print(child_doc.name)"
266,"I need the child records from Work Order, can you get that?","for child_doc in frappe.get_doc(""Work Order"", ""ID-005"").get_children():
    print(child_doc.name)"
271,Please tell me the child records for Lead.,"for child_doc in frappe.get_doc(""Lead"", ""ID-036"").get_children():
    print(child_doc.name)"
272,Retrieve all child records for Journal Entry.,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-041"").get_children():
    print(child_doc.name)"
274,Show the child entries in Task.,"for child_doc in frappe.get_doc(""Task"", ""ID-018"").get_children():
    print(child_doc.name)"
284,What are the child records of Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-004"").get_children():
    print(child_doc.name)"
289,Show the child entries in Journal Entry.,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-010"").get_children():
    print(child_doc.name)"
292,"I need the child records from Subscription, can you get that?","for child_doc in frappe.get_doc(""Subscription"", ""ID-021"").get_children():
    print(child_doc.name)"
293,Can you let me know the child entries of Lead?,"for child_doc in frappe.get_doc(""Lead"", ""ID-024"").get_children():
    print(child_doc.name)"
294,Show the child entries in Quotation.,"for child_doc in frappe.get_doc(""Quotation"", ""ID-040"").get_children():
    print(child_doc.name)"
296,Can you let me know the child entries of Expense Claim?,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-032"").get_children():
    print(child_doc.name)"
302,Can you let me know the child entries of Project?,"for child_doc in frappe.get_doc(""Project"", ""ID-021"").get_children():
    print(child_doc.name)"
303,"Hey, can you fetch the child records for Lead?","for child_doc in frappe.get_doc(""Lead"", ""ID-048"").get_children():
    print(child_doc.name)"
304,"I need the child records from Opportunity, can you get that?","for child_doc in frappe.get_doc(""Opportunity"", ""ID-049"").get_children():
    print(child_doc.name)"
307,"I need the child records from Asset, can you get that?","for child_doc in frappe.get_doc(""Asset"", ""ID-028"").get_children():
    print(child_doc.name)"
308,"Hey, can you fetch the child records for Expense Claim?","for child_doc in frappe.get_doc(""Expense Claim"", ""ID-004"").get_children():
    print(child_doc.name)"
310,Show the child entries in Loan.,"for child_doc in frappe.get_doc(""Loan"", ""ID-049"").get_children():
    print(child_doc.name)"
311,"Hey, can you fetch the child records for Subscription?","for child_doc in frappe.get_doc(""Subscription"", ""ID-010"").get_children():
    print(child_doc.name)"
312,What are the child records of Loan?,"for child_doc in frappe.get_doc(""Loan"", ""ID-002"").get_children():
    print(child_doc.name)"
326,Please tell me the child records for Expense Claim.,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-017"").get_children():
    print(child_doc.name)"
329,"Hey, can you fetch the child records for Expense Claim?","for child_doc in frappe.get_doc(""Expense Claim"", ""ID-035"").get_children():
    print(child_doc.name)"
333,Please tell me the child records for Timesheet.,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-003"").get_children():
    print(child_doc.name)"
334,Retrieve all child records for Purchase Order.,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-007"").get_children():
    print(child_doc.name)"
336,Retrieve all child records for Sales Order.,"for child_doc in frappe.get_doc(""Sales Order"", ""ID-049"").get_children():
    print(child_doc.name)"
340,Please tell me the child records for Timesheet.,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-002"").get_children():
    print(child_doc.name)"
342,"Hey, can you fetch the child records for Supplier?","for child_doc in frappe.get_doc(""Supplier"", ""ID-011"").get_children():
    print(child_doc.name)"
349,"I need the child records from Timesheet, can you get that?","for child_doc in frappe.get_doc(""Timesheet"", ""ID-016"").get_children():
    print(child_doc.name)"
354,Show the child entries in Work Order.,"for child_doc in frappe.get_doc(""Work Order"", ""ID-006"").get_children():
    print(child_doc.name)"
355,"I need the child records from Timesheet, can you get that?","for child_doc in frappe.get_doc(""Timesheet"", ""ID-034"").get_children():
    print(child_doc.name)"
357,"Hey, can you fetch the child records for Sales Order?","for child_doc in frappe.get_doc(""Sales Order"", ""ID-028"").get_children():
    print(child_doc.name)"
365,Show the child entries in Quotation.,"for child_doc in frappe.get_doc(""Quotation"", ""QTN-2024-505"").get_children():
    print(child_doc.name)"
366,What are the child records of Event?,"for child_doc in frappe.get_doc(""Event"", ""ID-018"").get_children():
    print(child_doc.name)"
368,Retrieve all child records for Quotation.,"for child_doc in frappe.get_doc(""Quotation"", ""ID-019"").get_children():
    print(child_doc.name)"
369,"I need the child records from Quotation, can you get that?","for child_doc in frappe.get_doc(""Quotation"", ""ID-014"").get_children():
    print(child_doc.name)"
371,What are the child records of Asset?,"for child_doc in frappe.get_doc(""Asset"", ""ID-018"").get_children():
    print(child_doc.name)"
372,Show the child entries in Contract.,"for child_doc in frappe.get_doc(""Contract"", ""ID-044"").get_children():
    print(child_doc.name)"
378,"I need the child records from Loan, can you get that?","for child_doc in frappe.get_doc(""Loan"", ""ID-001"").get_children():
    print(child_doc.name)"
380,Show the child entries in Opportunity.,"for child_doc in frappe.get_doc(""Opportunity"", ""ID-029"").get_children():
    print(child_doc.name)"
383,Show the child entries in Material Request.,"for child_doc in frappe.get_doc(""Material Request"", ""ID-036"").get_children():
    print(child_doc.name)"
384,Retrieve all child records for Timesheet.,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-031"").get_children():
    print(child_doc.name)"
385,What are the child records of Pricing Rule?,"for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-026"").get_children():
    print(child_doc.name)"
386,Can you let me know the child entries of Sales Order?,"for child_doc in frappe.get_doc(""Sales Order"", ""ID-045"").get_children():
    print(child_doc.name)"
387,What are the child records of Quotation?,"for child_doc in frappe.get_doc(""Quotation"", ""ID-020"").get_children():
    print(child_doc.name)"
388,Can you let me know the child entries of Material Request?,"for child_doc in frappe.get_doc(""Material Request"", ""ID-010"").get_children():
    print(child_doc.name)"
390,Retrieve all child records for Asset.,"for child_doc in frappe.get_doc(""Asset"", ""ID-005"").get_children():
    print(child_doc.name)"
391,Could you show me the child entries in Contract?,"for child_doc in frappe.get_doc(""Contract"", ""ID-030"").get_children():
    print(child_doc.name)"
392,What are the child records of Supplier?,"for child_doc in frappe.get_doc(""Supplier"", ""ID-045"").get_children():
    print(child_doc.name)"
393,What are the child records of Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-031"").get_children():
    print(child_doc.name)"
396,Please tell me the child records for Warehouse.,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-035"").get_children():
    print(child_doc.name)"
399,Can you let me know the child entries of Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-003"").get_children():
    print(child_doc.name)"
400,Show the child entries in Journal Entry.,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-039"").get_children():
    print(child_doc.name)"
402,Retrieve all child records for Loan.,"for child_doc in frappe.get_doc(""Loan"", ""ID-041"").get_children():
    print(child_doc.name)"
404,Can you fetch the child records of Journal Entry?,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-036"").get_children():
    print(child_doc.name)"
405,Show the child entries in Project.,"for child_doc in frappe.get_doc(""Project"", ""ID-009"").get_children():
    print(child_doc.name)"
410,Could you show me the child entries in Supplier?,"for child_doc in frappe.get_doc(""Supplier"", ""ID-005"").get_children():
    print(child_doc.name)"
411,Could you show me the child entries in Sales Order?,"for child_doc in frappe.get_doc(""Sales Order"", ""ID-029"").get_children():
    print(child_doc.name)"
412,Could you show me the child entries in Asset?,"for child_doc in frappe.get_doc(""Asset"", ""ID-006"").get_children():
    print(child_doc.name)"
414,Can you let me know the child entries of Journal Entry?,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-030"").get_children():
    print(child_doc.name)"
417,Could you show me the child entries in Quotation?,"for child_doc in frappe.get_doc(""Quotation"", ""ID-044"").get_children():
    print(child_doc.name)"
426,What are the child records of Loan?,"for child_doc in frappe.get_doc(""Loan"", ""ID-018"").get_children():
    print(child_doc.name)"
427,Show the child entries in Sales Order.,"for child_doc in frappe.get_doc(""Sales Order"", ""ID-040"").get_children():
    print(child_doc.name)"
431,"I need the child records from Event, can you get that?","for child_doc in frappe.get_doc(""Event"", ""ID-046"").get_children():
    print(child_doc.name)"
435,"I need the child records from Quotation, can you get that?","for child_doc in frappe.get_doc(""Quotation"", ""ID-003"").get_children():
    print(child_doc.name)"
437,Show the child entries in Contract.,"for child_doc in frappe.get_doc(""Contract"", ""ID-047"").get_children():
    print(child_doc.name)"
438,"Hey, can you fetch the child records for Task?","for child_doc in frappe.get_doc(""Task"", ""ID-006"").get_children():
    print(child_doc.name)"
443,Could you show me the child entries in Journal Entry?,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-029"").get_children():
    print(child_doc.name)"
444,What are the child records of Material Request?,"for child_doc in frappe.get_doc(""Material Request"", ""ID-006"").get_children():
    print(child_doc.name)"
448,Retrieve all child records for Warehouse.,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-029"").get_children():
    print(child_doc.name)"
452,Show the child entries in Project.,"for child_doc in frappe.get_doc(""Project"", ""ID-037"").get_children():
    print(child_doc.name)"
453,Show the child entries in Supplier.,"for child_doc in frappe.get_doc(""Supplier"", ""ID-048"").get_children():
    print(child_doc.name)"
454,Can you fetch the child records of Material Request?,"for child_doc in frappe.get_doc(""Material Request"", ""ID-040"").get_children():
    print(child_doc.name)"
460,Could you show me the child entries in Quotation?,"for child_doc in frappe.get_doc(""Quotation"", ""ID-049"").get_children():
    print(child_doc.name)"
465,"Hey, can you fetch the child records for Subscription?","for child_doc in frappe.get_doc(""Subscription"", ""ID-004"").get_children():
    print(child_doc.name)"
469,What are the child records of Task?,"for child_doc in frappe.get_doc(""Task"", ""ID-013"").get_children():
    print(child_doc.name)"
470,Could you show me the child entries in Warehouse?,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-033"").get_children():
    print(child_doc.name)"
471,Show the child entries in Event.,"for child_doc in frappe.get_doc(""Event"", ""ID-027"").get_children():
    print(child_doc.name)"
476,What are the child records of Expense Claim?,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-046"").get_children():
    print(child_doc.name)"
480,Can you let me know the child entries of Pricing Rule?,"for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-034"").get_children():
    print(child_doc.name)"
481,Can you let me know the child entries of Project?,"for child_doc in frappe.get_doc(""Project"", ""ID-007"").get_children():
    print(child_doc.name)"
482,Please tell me the child records for Warehouse.,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-031"").get_children():
    print(child_doc.name)"
484,Can you let me know the child entries of Warehouse?,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-045"").get_children():
    print(child_doc.name)"
486,Could you show me the child entries in Contract?,"for child_doc in frappe.get_doc(""Contract"", ""ID-029"").get_children():
    print(child_doc.name)"
490,Can you fetch the child records of Journal Entry?,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-002"").get_children():
    print(child_doc.name)"
492,"Hey, can you fetch the child records for Warehouse?","for child_doc in frappe.get_doc(""Warehouse"", ""ID-019"").get_children():
    print(child_doc.name)"
493,"Hey, can you fetch the child records for Contract?","for child_doc in frappe.get_doc(""Contract"", ""ID-003"").get_children():
    print(child_doc.name)"
497,Show the child entries in Customer.,"for child_doc in frappe.get_doc(""Customer"", ""ID-036"").get_children():
    print(child_doc.name)"
499,Can you let me know the child entries of Contract?,"for child_doc in frappe.get_doc(""Contract"", ""ID-039"").get_children():
    print(child_doc.name)"
504,Please tell me the child records for Supplier.,"for child_doc in frappe.get_doc(""Supplier"", ""ID-004"").get_children():
    print(child_doc.name)"
505,Can you fetch the child records of Warehouse?,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-008"").get_children():
    print(child_doc.name)"
506,Can you let me know the child entries of Contract?,"for child_doc in frappe.get_doc(""Contract"", ""ID-011"").get_children():
    print(child_doc.name)"
507,What are the child records of Purchase Order?,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-022"").get_children():
    print(child_doc.name)"
508,Retrieve all child records for Pricing Rule.,"for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-027"").get_children():
    print(child_doc.name)"
509,Can you fetch the child records of Pricing Rule?,"for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-043"").get_children():
    print(child_doc.name)"
511,What are the child records of Event?,"for child_doc in frappe.get_doc(""Event"", ""ID-012"").get_children():
    print(child_doc.name)"
512,Please tell me the child records for Purchase Order.,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-023"").get_children():
    print(child_doc.name)"
518,Can you fetch the child records of Supplier?,"for child_doc in frappe.get_doc(""Supplier"", ""ID-046"").get_children():
    print(child_doc.name)"
524,Could you show me the child entries in Timesheet?,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-020"").get_children():
    print(child_doc.name)"
528,Could you show me the child entries in Journal Entry?,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-038"").get_children():
    print(child_doc.name)"
529,What are the child records of Stock Entry?,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-018"").get_children():
    print(child_doc.name)"
531,Can you fetch the child records of Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-029"").get_children():
    print(child_doc.name)"
534,Could you show me the child entries in Project?,"for child_doc in frappe.get_doc(""Project"", ""ID-025"").get_children():
    print(child_doc.name)"
539,"Hey, can you fetch the child records for Pricing Rule?","for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-046"").get_children():
    print(child_doc.name)"
540,Show the child entries in Work Order.,"for child_doc in frappe.get_doc(""Work Order"", ""ID-026"").get_children():
    print(child_doc.name)"
541,What are the child records of Timesheet?,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-046"").get_children():
    print(child_doc.name)"
542,"Hey, can you fetch the child records for Asset?","for child_doc in frappe.get_doc(""Asset"", ""ID-023"").get_children():
    print(child_doc.name)"
544,Can you fetch the child records of Stock Entry?,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-048"").get_children():
    print(child_doc.name)"
545,Could you show me the child entries in Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-045"").get_children():
    print(child_doc.name)"
546,"I need the child records from Timesheet, can you get that?","for child_doc in frappe.get_doc(""Timesheet"", ""ID-011"").get_children():
    print(child_doc.name)"
