Unnamed: 0,Corrected Customer Question,Corrected Frappe Query
295,I need to know the parent document for Serial No identified by ref 001.,"frappe.get_doc(""Serial No"", ""ID-001"").get_parent()"
297,Could you tell me the parent document of Contract for contract_006?,"frappe.get_doc(""Contract"", ""ID-006"").get_parent()"
300,Tell me the parent document of Permit Application with ref-036.,"frappe.get_doc(""Permit Application"", ""ID-036"").get_parent()"
305,Can you find the parent document of Milestone having name 004?,"frappe.get_doc(""Milestone"", ""ID-004"").get_parent()"
308,I need to know the parent document for E-commerce Order identified by e-commerce order_031.,"frappe.get_doc(""E-commerce Order"", ""ID-031"").get_parent()"
314,What is the parent document for the Supplier with identifier 008?,"frappe.get_doc(""Supplier"", ""ID-008"").get_parent()"
315,"For Stock Ledger Entry with doc_name 012, what is the parent document?","frappe.get_doc(""Stock Ledger Entry"", ""ID-012"").get_parent()"
316,Can you provide the parent document for Timesheet with record 030?,"frappe.get_doc(""Timesheet"", ""ID-030"").get_parent()"
318,Could you help me find the parent document linked to Leave Application with cust270366?,"frappe.get_doc(""Leave Application"", ""ID-005"").get_parent()"
321,Can you find the parent document of Job Applicant having ref-031?,"frappe.get_doc(""Job Applicant"", ""ID-031"").get_parent()"
323,"For Subscription with ref 019, what is the parent document?","frappe.get_doc(""Subscription"", ""ID-019"").get_parent()"
327,Could you help me find the parent document linked to Invoice with ref 014?,"frappe.get_doc(""Invoice"", ""ID-014"").get_parent()"
329,Could you tell me the parent document of Loan for entry 015?,"frappe.get_doc(""Loan"", ""ID-015"").get_parent()"
331,Can you find the parent document of Task having cust_015?,"frappe.get_doc(""Task"", ""ID-015"").get_parent()"
337,Tell me the parent document of Loan with reference 033.,"frappe.get_doc(""Loan"", ""ID-033"").get_parent()"
338,What is the parent document for the Payment Entry with entry 006?,"frappe.get_doc(""Payment Entry"", ""ID-006"").get_parent()"
340,Could you tell me the parent document of Course for entry 022?,"frappe.get_doc(""Course"", ""ID-022"").get_parent()"
341,I need to know the parent document for Job Opening identified by ab2226.,"frappe.get_doc(""Job Opening"", ""ID-002"").get_parent()"
343,Could you help me find the parent document linked to Contract with ref-017?,"frappe.get_doc(""Contract"", ""ID-017"").get_parent()"
344,What is the parent document for the Warranty Claim with supp_040?,"frappe.get_doc(""Warranty Claim"", ""ID-040"").get_parent()"
345,Could you help me find the parent document linked to Chart of Accounts with order_STK-987?,"frappe.get_doc(""Chart of Accounts"", ""STK-987"").get_parent()"
351,Could you help me find the parent document linked to Shipment with order_015?,"frappe.get_doc(""Shipment"", ""ID-015"").get_parent()"
354,Could you help me find the parent document linked to Student with identifier 010?,"frappe.get_doc(""Student"", ""ID-010"").get_parent()"
357,What is the parent document for the Quotation with ref-041?,"frappe.get_doc(""Quotation"", ""ID-041"").get_parent()"
360,"For Pricing Rule with identifier 038, what is the parent document?","frappe.get_doc(""Pricing Rule"", ""ID-038"").get_parent()"
362,Could you tell me the parent document of Sales Invoice for identifier 019?,"frappe.get_doc(""Sales Invoice"", ""ID-019"").get_parent()"
364,I need to know the parent document for Asset identified by ass-020.,"frappe.get_doc(""Asset"", ""ID-020"").get_parent()"
366,Can you provide the parent document for Opportunity with supp_045?,"frappe.get_doc(""Opportunity"", ""ID-045"").get_parent()"
368,What is the parent document for the Contact with 027_ID?,"frappe.get_doc(""Contact"", ""ID-027"").get_parent()"
370,Can you provide the parent document for Invoice with ab6607?,"frappe.get_doc(""Invoice"", ""ID-011"").get_parent()"
371,Could you tell me the parent document of Warranty Claim for hdyhfdje155?,"frappe.get_doc(""Warranty Claim"", ""ID-018"").get_parent()"
375,Can you find the parent document of Contract having ref 029?,"frappe.get_doc(""Contract"", ""ID-029"").get_parent()"
377,I need to know the parent document for Leave Application identified by cust_047.,"frappe.get_doc(""Leave Application"", ""ID-047"").get_parent()"
378,Could you tell me the parent document of Pricing Rule for supp_018?,"frappe.get_doc(""Pricing Rule"", ""ID-018"").get_parent()"
381,"For Payment Entry with reference 009, what is the parent document?","frappe.get_doc(""Payment Entry"", ""ID-009"").get_parent()"
383,What is the parent document for the Purchase Order with id 038?,"frappe.get_doc(""Purchase Order"", ""ID-038"").get_parent()"
384,Could you help me find the parent document linked to Purchase Invoice with ref-012?,"frappe.get_doc(""Purchase Invoice"", ""ID-012"").get_parent()"
385,"For Contact with identifier 005, what is the parent document?","frappe.get_doc(""Contact"", ""ID-005"").get_parent()"
387,What is the parent document for the Fleet Management with 034_ID?,"frappe.get_doc(""Fleet Management"", ""ID-034"").get_parent()"
388,Can you provide the parent document for Invoice with reference 025?,"frappe.get_doc(""Invoice"", ""ID-025"").get_parent()"
392,Could you tell me the parent document of Job Card for jh4137?,"frappe.get_doc(""Job Card"", ""ID-026"").get_parent()"
393,"For Contract with doc_name 034, what is the parent document?","frappe.get_doc(""Contract"", ""ID-034"").get_parent()"
395,I need to know the parent document for Vital Signs identified by kl4791.,"frappe.get_doc(""Vital Signs"", ""ID-047"").get_parent()"
396,"For Stock Entry with id 032, what is the parent document?","frappe.get_doc(""Stock Entry"", ""ID-032"").get_parent()"
397,Could you help me find the parent document linked to Leave Application with ref-044?,"frappe.get_doc(""Leave Application"", ""ID-044"").get_parent()"
398,Could you tell me the parent document of Audit Report for order_033?,"frappe.get_doc(""Audit Report"", ""ID-033"").get_parent()"
399,Can you provide the parent document for Lab Test with hdyhfdje439?,"frappe.get_doc(""Lab Test"", ""ID-008"").get_parent()"
400,What is the parent document for the BOM with id 009?,"frappe.get_doc(""BOM"", ""ID-009"").get_parent()"
403,What is the parent document for the Lab Test with reference 013?,"frappe.get_doc(""Lab Test"", ""ID-013"").get_parent()"
404,I need to know the parent document for Shipment identified by hd6463.,"frappe.get_doc(""Shipment"", ""ID-046"").get_parent()"
405,Could you tell me the parent document of Material Request for ref 021?,"frappe.get_doc(""Material Request"", ""ID-021"").get_parent()"
407,Can you provide the parent document for Purchase Order with 025X?,"frappe.get_doc(""Purchase Order"", ""ID-025"").get_parent()"
409,Can you provide the parent document for Payroll Entry with doc_name 026?,"frappe.get_doc(""Payroll Entry"", ""ID-026"").get_parent()"
411,Could you help me find the parent document linked to Lab Test with kl8711?,"frappe.get_doc(""Lab Test"", ""ID-038"").get_parent()"
412,What is the parent document for the Sales Invoice with id 029?,"frappe.get_doc(""Sales Invoice"", ""ID-029"").get_parent()"
416,Could you tell me the parent document of Item for order843274?,"frappe.get_doc(""Item"", ""ID-021"").get_parent()"
422,Tell me the parent document of Milestone with entry 001.,"frappe.get_doc(""Milestone"", ""ID-001"").get_parent()"
427,Can you provide the parent document for Payroll Entry with jh6527?,"frappe.get_doc(""Payroll Entry"", ""ID-033"").get_parent()"
428,Could you tell me the parent document of Asset for id 010?,"frappe.get_doc(""Asset"", ""ID-010"").get_parent()"
430,What is the parent document for the E-commerce Order with e-c-006?,"frappe.get_doc(""E-commerce Order"", ""ID-006"").get_parent()"
432,Could you help me find the parent document linked to E-commerce Order with jh3762?,"frappe.get_doc(""E-commerce Order"", ""ID-025"").get_parent()"
434,Could you tell me the parent document of Warehouse for cust_022?,"frappe.get_doc(""Warehouse"", ""ID-022"").get_parent()"
437,Can you provide the parent document for Journal Entry with identifier 007?,"frappe.get_doc(""Journal Entry"", ""ID-007"").get_parent()"
438,I need to know the parent document for Stock Ledger Entry identified by identifier 019.,"frappe.get_doc(""Stock Ledger Entry"", ""ID-019"").get_parent()"
440,Could you help me find the parent document linked to Lab Test with id 042?,"frappe.get_doc(""Lab Test"", ""ID-042"").get_parent()"
441,I need to know the parent document for Contract identified by 025_ID.,"frappe.get_doc(""Contract"", ""ID-025"").get_parent()"
442,Can you provide the parent document for BOM with id 001?,"frappe.get_doc(""BOM"", ""ID-001"").get_parent()"
443,Tell me the parent document of Loan with hdyhfdje343.,"frappe.get_doc(""Loan"", ""ID-027"").get_parent()"
444,What is the parent document for the Course with ref 043?,"frappe.get_doc(""Course"", ""ID-043"").get_parent()"
450,I need to know the parent document for Lead identified by hdyhfdje508.,"frappe.get_doc(""Lead"", ""ID-016"").get_parent()"
451,Can you find the parent document of Warehouse having 040X?,"frappe.get_doc(""Warehouse"", ""ID-040"").get_parent()"
453,"For Sales Order with 036_ID, what is the parent document?","frappe.get_doc(""Sales Order"", ""ID-036"").get_parent()"
454,Can you find the parent document of Invoice having supp_010?,"frappe.get_doc(""Invoice"", ""ID-010"").get_parent()"
455,Tell me the parent document of Purchase Invoice with ref 006.,"frappe.get_doc(""Purchase Invoice"", ""ID-006"").get_parent()"
460,Can you find the parent document of Event having ref-024?,"frappe.get_doc(""Event"", ""ID-024"").get_parent()"
461,Could you help me find the parent document linked to Lab Test with ref 046?,"frappe.get_doc(""Lab Test"", ""ID-046"").get_parent()"
467,"For Fleet Management with 021X, what is the parent document?","frappe.get_doc(""Fleet Management"", ""ID-021"").get_parent()"
468,Tell me the parent document of Batch with doc_037.,"frappe.get_doc(""Batch"", ""ID-037"").get_parent()"
469,Could you help me find the parent document linked to Contract with hdyhfdje110?,"frappe.get_doc(""Contract"", ""ID-011"").get_parent()"
470,Could you tell me the parent document of Contract for cust_038?,"frappe.get_doc(""Contract"", ""ID-038"").get_parent()"
476,Can you provide the parent document for Invoice with 029X?,"frappe.get_doc(""Invoice"", ""ID-029"").get_parent()"
477,Can you provide the parent document for Opportunity with record 011?,"frappe.get_doc(""Opportunity"", ""ID-011"").get_parent()"
484,"For Vital Signs with entry 007, what is the parent document?","frappe.get_doc(""Vital Signs"", ""ID-007"").get_parent()"
485,Tell me the parent document of Loan with ref 038.,"frappe.get_doc(""Loan"", ""ID-038"").get_parent()"
487,Could you tell me the parent document of Invoice for ref 028?,"frappe.get_doc(""Invoice"", ""ID-028"").get_parent()"
490,I need to know the parent document for Task identified by jh2283.,"frappe.get_doc(""Task"", ""ID-019"").get_parent()"
494,"For Loan with ab7390, what is the parent document?","frappe.get_doc(""Loan"", ""ID-047"").get_parent()"
495,I need to know the parent document for Invoice identified by ref 015.,"frappe.get_doc(""Invoice"", ""ID-015"").get_parent()"
497,Can you find the parent document of Supplier having ref 047?,"frappe.get_doc(""Supplier"", ""ID-047"").get_parent()"
498,"For Asset with doc_name 032, what is the parent document?","frappe.get_doc(""Asset"", ""ID-032"").get_parent()"
502,What is the parent document for the Leave Application with lea-021?,"frappe.get_doc(""Leave Application"", ""ID-021"").get_parent()"
503,Tell me the parent document of Employee with doc_008.,"frappe.get_doc(""Employee"", ""ID-008"").get_parent()"
504,Could you tell me the parent document of Employee for cust_017?,"frappe.get_doc(""Employee"", ""ID-017"").get_parent()"
509,Tell me the parent document of Supplier with doc_name 028.,"frappe.get_doc(""Supplier"", ""ID-028"").get_parent()"
511,Can you find the parent document of Project having project_017?,"frappe.get_doc(""Project"", ""ID-017"").get_parent()"
512,Could you help me find the parent document linked to Shipment with 014X?,"frappe.get_doc(""Shipment"", ""ID-014"").get_parent()"
520,Tell me the parent document of Lab Test with doc_036.,"frappe.get_doc(""Lab Test"", ""ID-036"").get_parent()"
523,Could you tell me the parent document of Audit Report for cust_009?,"frappe.get_doc(""Audit Report"", ""ID-009"").get_parent()"
526,Can you provide the parent document for Pricing Rule with pricing rule_014?,"frappe.get_doc(""Pricing Rule"", ""ID-014"").get_parent()"
529,"For Shipment with order_049, what is the parent document?","frappe.get_doc(""Shipment"", ""ID-049"").get_parent()"
531,I need to know the parent document for BOM identified by jh9435.,"frappe.get_doc(""BOM"", ""ID-031"").get_parent()"
533,Could you tell me the parent document of Loan for 041X?,"frappe.get_doc(""Loan"", ""ID-041"").get_parent()"
534,What is the parent document for the Support Ticket with hdyhfdje884?,"frappe.get_doc(""Support Ticket"", ""ID-034"").get_parent()"
539,Can you find the parent document of Job Card having job-004?,"frappe.get_doc(""Job Card"", ""ID-004"").get_parent()"
540,Can you find the parent document of Permit Application having order_011?,"frappe.get_doc(""Permit Application"", ""ID-011"").get_parent()"
541,Can you provide the parent document for Journal Entry with hdyhfdje314?,"frappe.get_doc(""Journal Entry"", ""ID-009"").get_parent()"
546,Tell me the parent document of Loan with order_028.,"frappe.get_doc(""Loan"", ""ID-028"").get_parent()"
547,Could you help me find the parent document linked to Appointment with id 012?,"frappe.get_doc(""Appointment"", ""ID-012"").get_parent()"
548,Can you provide the parent document for Purchase Order with hdyhfdje256?,"frappe.get_doc(""Purchase Order"", ""ID-035"").get_parent()"
552,Could you tell me the parent document of Contract for cust_004?,"frappe.get_doc(""Contract"", ""ID-004"").get_parent()"
553,What is the parent document for the Quotation with order_038?,"frappe.get_doc(""Quotation"", ""ID-038"").get_parent()"
554,Can you find the parent document of Shipment having 035X?,"frappe.get_doc(""Shipment"", ""ID-035"").get_parent()"
555,"For Material Request with record 023, what is the parent document?","frappe.get_doc(""Material Request"", ""ID-023"").get_parent()"
557,What is the parent document for the Lab Test with ab9436?,"frappe.get_doc(""Lab Test"", ""ID-042"").get_parent()"
560,I need to know the parent document for Supplier identified by order_018.,"frappe.get_doc(""Supplier"", ""ID-018"").get_parent()"
561,What is the parent document for the Support Ticket with id 022?,"frappe.get_doc(""Support Ticket"", ""ID-022"").get_parent()"
563,What is the parent document for the Payment Entry with reference 037?,"frappe.get_doc(""Payment Entry"", ""ID-037"").get_parent()"
572,Can you provide the parent document for Asset with record 013?,"frappe.get_doc(""Asset"", ""ID-013"").get_parent()"
574,I need to know the parent document for Vital Signs identified by hdyhfdje997.,"frappe.get_doc(""Vital Signs"", ""ID-030"").get_parent()"
578,I need to know the parent document for Software License identified by reference 013.,"frappe.get_doc(""Software License"", ""ID-013"").get_parent()"
581,Could you help me find the parent document linked to Fleet Management with fle-028?,"frappe.get_doc(""Fleet Management"", ""ID-028"").get_parent()"
582,"For Job Opening with 029_ID, what is the parent document?","frappe.get_doc(""Job Opening"", ""ID-029"").get_parent()"
584,"For Purchase Order with 015_ID, what is the parent document?","frappe.get_doc(""Purchase Order"", ""ID-015"").get_parent()"
586,Could you tell me the parent document of Contract for id 026?,"frappe.get_doc(""Contract"", ""ID-026"").get_parent()"
587,Can you provide the parent document for Payment Entry with order_030?,"frappe.get_doc(""Payment Entry"", ""ID-030"").get_parent()"
588,What is the parent document for the Event with record 035?,"frappe.get_doc(""Event"", ""ID-035"").get_parent()"
590,I need to know the parent document for Serial No identified by record 031.,"frappe.get_doc(""Serial No"", ""ID-031"").get_parent()"
591,Could you help me find the parent document linked to Expense Claim with supp_042?,"frappe.get_doc(""Expense Claim"", ""ID-042"").get_parent()"
597,Can you provide the parent document for Asset with cust874522?,"frappe.get_doc(""Asset"", ""ID-007"").get_parent()"
598,Could you tell me the parent document of Loan for 029_ID?,"frappe.get_doc(""Loan"", ""ID-029"").get_parent()"
605,Could you help me find the parent document linked to Service Level Agreement with doc_021?,"frappe.get_doc(""Service Level Agreement"", ""ID-021"").get_parent()"
609,Could you tell me the parent document of Material Request for doc_028?,"frappe.get_doc(""Material Request"", ""ID-028"").get_parent()"
