Customer Question,Frappe Query
Get purchase invoice doc 'DOC-5555'?,"doc = frappe.get_doc(""Purchase Invoice"", ""DOC-5555"", {""customer_group"": ""Retail"", ""territory"": ""North""})
print(doc, {""customer_group"": ""Retail"", ""territory"": ""North""})"
subscription doc for status 'sample_value'?,"doc = frappe.get_doc(""Subscription"", filters={""status"": ""sample_value""})
print(doc)"
Fetch journal entry where account is 'unique_value'?,"doc = frappe.get_doc(""Journal Entry"", filters={""account"": ""12345""})
print(doc)"
tax rule doc for valid_to 'test_value'?,"doc = frappe.get_doc(""Tax Rule"", filters={""valid_to"": ""Electronics""})
print(doc)"
Get hotel reservation where guest_name 'latest_unique_value' from this year?,"doc = frappe.get_doc(""Hotel Reservation"", filters={""guest_name"": ""latest_12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get sales order where status 'unique_value' from this year?,"doc = frappe.get_doc(""Sales Order"", filters={""status"": ""Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the service level agreement record where customer is 'new_unique_value' and created this year?,"doc = frappe.get_doc(""Service Level Agreement"", filters={""customer"": ""new_High"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need campaign for status 'sample_value' this year?","doc = frappe.get_doc(""Campaign"", filters={""status"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull quotation doc for items 'new_unique_value'?,"doc = frappe.get_doc(""Quotation"", filters={""items"": ""new_12345""})
print(doc)"
"Hey, can you grab serial no doc 'DOC-8888'?","doc = frappe.get_doc(""Serial No"", ""DOC-8888"", {""customer_group"": ""Retail"", ""territory"": ""North""})
print(doc, {""customer_group"": ""Retail"", ""territory"": ""North""})"
Can you fetch the sales invoice record where total_amount is 'unique_value' and created this year?,"doc = frappe.get_doc(""Sales Invoice"", filters={""total_amount"": ""Open"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get task where priority 'test_value' from this year?,"doc = frappe.get_doc(""Task"", filters={""priority"": ""Active"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Fetch meeting where agenda is 'unique_value'?,"doc = frappe.get_doc(""Meeting"", filters={""agenda"": ""High""})
print(doc)"
Retrieve the salary slip document where gross_salary is 'unique_value'.,"doc = frappe.get_doc(""Salary Slip"", filters={""gross_salary"": ""12345""})
print(doc)"
Can u pull lead doc for lead_name 'new_unique_value'?,"doc = frappe.get_doc(""Lead"", filters={""lead_name"": ""new_Retail""})
print(doc)"
Can u pull meeting doc for agenda 'test_value'?,"doc = frappe.get_doc(""Meeting"", filters={""agenda"": ""Premium""})
print(doc)"
Retrieve the warranty claim document where product is 'new_unique_value'?,"doc = frappe.get_doc(""Warranty Claim"", filters={""product"": ""new_High""})
print(doc)"
serial no doc 'DOC-5678'?,"doc = frappe.get_doc(""Serial No"", ""DOC-5678"", {""payment_status"": ""Paid"", ""invoice_amount"": ("">"", 5000)})
print(doc, {""payment_status"": ""Paid"", ""invoice_amount"": ("">"", 5000)})"
Retrieve the tax rule document where applicable_for is 'test_value'.,"doc = frappe.get_doc(""Tax Rule"", filters={""applicable_for"": ""Premium""})
print(doc)"
meeting doc location 'last_unique_value' this year?,"doc = frappe.get_doc(""Meeting"", filters={""location"": ""last_High"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the support ticket record where priority is 'sample_value' and created this year?,"doc = frappe.get_doc(""Support Ticket"", filters={""priority"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the lab test record where test_name is 'sample_value' and created this year?,"doc = frappe.get_doc(""Lab Test"", filters={""test_name"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Fetch e-commerce order where items is 'test_value'?,"doc = frappe.get_doc(""E-commerce Order"", filters={""items"": ""5000""})
print(doc)"
"Hey, need item for price 'sample_value' this year?","doc = frappe.get_doc(""Item"", filters={""price"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
stock entry doc stock_entry_type 'sample_value' this year?,"doc = frappe.get_doc(""Stock Entry"", filters={""stock_entry_type"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, can you grab payment entry doc 'DOC-8888'?","doc = frappe.get_doc(""Payment Entry"", ""DOC-8888"", {""status"": ""Open"", ""priority"": ""High""})
print(doc, {""status"": ""Open"", ""priority"": ""High""})"
journal entry doc for remarks 'test_value'?,"doc = frappe.get_doc(""Journal Entry"", filters={""remarks"": ""Premium""})
print(doc)"
vital signs doc for patient 'sample_value'?,"doc = frappe.get_doc(""Vital Signs"", filters={""patient"": ""sample_value""})
print(doc)"
Fetch batch where manufacture_date is 'test_value'?,"doc = frappe.get_doc(""Batch"", filters={""manufacture_date"": ""Premium""})
print(doc)"
Fetch warehouse where company is 'unique_value'?,"doc = frappe.get_doc(""Warehouse"", filters={""company"": ""North""})
print(doc)"
Can you fetch the expense claim record where expense_amount is 'sample_value' and created this year?,"doc = frappe.get_doc(""Expense Claim"", filters={""expense_amount"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the appointment record where appointment_id is 'test_value' and created this year?,"doc = frappe.get_doc(""Appointment"", filters={""appointment_id"": ""Active"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the prescription record where medicines is 'new_unique_value' and created this year?,"doc = frappe.get_doc(""Prescription"", filters={""medicines"": ""new_12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get item where item_name 'test_value' from this year?,"doc = frappe.get_doc(""Item"", filters={""item_name"": ""Premium"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the customer document where customer_group is 'sample_value'.,"doc = frappe.get_doc(""Customer"", filters={""customer_group"": ""sample_value""})
print(doc)"
"Hey, need tax rule for valid_to 'sample_value' this year?","doc = frappe.get_doc(""Tax Rule"", filters={""valid_to"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the batch record where manufacture_date is 'unique_value' and created this year?,"doc = frappe.get_doc(""Batch"", filters={""manufacture_date"": ""Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
appointment doc 'DOC-8888'?,"doc = frappe.get_doc(""Appointment"", ""DOC-8888"", {""status"": ""Open"", ""priority"": ""High""})
print(doc, {""status"": ""Open"", ""priority"": ""High""})"
project doc for start_date 'new_unique_value'?,"doc = frappe.get_doc(""Project"", filters={""start_date"": ""new_Open""})
print(doc)"
Retrieve the batch document where batch_id is 'test_value'.,"doc = frappe.get_doc(""Batch"", filters={""batch_id"": ""Approved""})
print(doc)"
campaign doc for budget 'sample_value'?,"doc = frappe.get_doc(""Campaign"", filters={""budget"": ""sample_value""})
print(doc)"
Get sales invoice where invoice_number 'new_unique_value' from this year?,"doc = frappe.get_doc(""Sales Invoice"", filters={""invoice_number"": ""new_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need batch for expiry_date 'test_value' this year?","doc = frappe.get_doc(""Batch"", filters={""expiry_date"": ""Electronics"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
salary slip doc employee 'sample_value' this year?,"doc = frappe.get_doc(""Salary Slip"", filters={""employee"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need opportunity for customer 'sample_value' this year?","doc = frappe.get_doc(""Opportunity"", filters={""customer"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need sales order for delivery_date 'new_unique_value' this year?","doc = frappe.get_doc(""Sales Order"", filters={""delivery_date"": ""new_12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
sales invoice doc for total_amount 'new_unique_value'?,"doc = frappe.get_doc(""Sales Invoice"", filters={""total_amount"": ""new_High""})
print(doc)"
journal entry doc for credit 'sample_value'?,"doc = frappe.get_doc(""Journal Entry"", filters={""credit"": ""sample_value""})
print(doc)"
Fetch journal entry where remarks is 'test_value'?,"doc = frappe.get_doc(""Journal Entry"", filters={""remarks"": ""Active""})
print(doc)"
Can u pull subscription doc for plan 'unique_value'?,"doc = frappe.get_doc(""Subscription"", filters={""plan"": ""12345""})
print(doc)"
Can u pull prescription doc for patient 'new_unique_value'?,"doc = frappe.get_doc(""Prescription"", filters={""patient"": ""new_Retail""})
print(doc)"
Get employee doc 'DOC-5555'?,"doc = frappe.get_doc(""Employee"", ""DOC-5555"", {""approval_status"": ""Approved"", ""category"": ""Electronics""})
print(doc, {""approval_status"": ""Approved"", ""category"": ""Electronics""})"
Fetch task where assigned_to is 'latest_unique_value'?,"doc = frappe.get_doc(""Task"", filters={""assigned_to"": ""latest_High""})
print(doc)"
Can u pull milestone doc for milestone_name 'unique_value'?,"doc = frappe.get_doc(""Milestone"", filters={""milestone_name"": ""High""})
print(doc)"
Retrieve the milestone document where target_date is 'test_value'.,"doc = frappe.get_doc(""Milestone"", filters={""target_date"": ""Approved""})
print(doc)"
Can u pull expense claim doc for expense_amount 'test_value'?,"doc = frappe.get_doc(""Expense Claim"", filters={""expense_amount"": ""Premium""})
print(doc)"
instructor doc for qualification 'test_value'?,"doc = frappe.get_doc(""Instructor"", filters={""qualification"": ""Active""})
print(doc)"
Can you fetch the payment entry record where mode_of_payment is 'new_unique_value' and created this year?,"doc = frappe.get_doc(""Payment Entry"", filters={""mode_of_payment"": ""new_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need serial no for warehouse 'sample_value' this year?","doc = frappe.get_doc(""Serial No"", filters={""warehouse"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
timesheet doc for total_hours 'new_unique_value'?,"doc = frappe.get_doc(""Timesheet"", filters={""total_hours"": ""new_High""})
print(doc)"
Can u pull payroll entry doc for payroll_entry_name 'new_unique_value'?,"doc = frappe.get_doc(""Payroll Entry"", filters={""payroll_entry_name"": ""new_12345""})
print(doc)"
"Hey, can you grab opportunity doc 'DOC-5678'?","doc = frappe.get_doc(""Opportunity"", ""DOC-5678"", {""status"": ""Open"", ""priority"": ""High""})
print(doc, {""status"": ""Open"", ""priority"": ""High""})"
Could you retrieve the sales invoice record with ID 'DOC-8888'?,"doc = frappe.get_doc(""Sales Invoice"", ""DOC-8888"", {""status"": ""Open"", ""priority"": ""High""})
print(doc, {""status"": ""Open"", ""priority"": ""High""})"
Could you retrieve the journal entry record with ID 'DOC-8888'?,"doc = frappe.get_doc(""Journal Entry"", ""DOC-8888"", {""payment_status"": ""Paid"", ""invoice_amount"": ("">"", 5000)})
print(doc, {""payment_status"": ""Paid"", ""invoice_amount"": ("">"", 5000)})"
timesheet doc status 'unique_value' this year?,"doc = frappe.get_doc(""Timesheet"", filters={""status"": ""12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the work order document where status is 'test_value'.,"doc = frappe.get_doc(""Work Order"", filters={""status"": ""Electronics""})
print(doc)"
Can u pull patient doc for allergies 'unique_value'?,"doc = frappe.get_doc(""Patient"", filters={""allergies"": ""Retail""})
print(doc)"
warranty claim doc product 'test_value' this year?,"doc = frappe.get_doc(""Warranty Claim"", filters={""product"": ""Premium"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get course where description 'sample_value' from this year?,"doc = frappe.get_doc(""Course"", filters={""description"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, can you grab lab test doc 'DOC-5678'?","doc = frappe.get_doc(""Lab Test"", ""DOC-5678"", {""status"": ""Open"", ""priority"": ""High""})
print(doc, {""status"": ""Open"", ""priority"": ""High""})"
"Hey, need fleet management for year 'sample_value' this year?","doc = frappe.get_doc(""Fleet Management"", filters={""year"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need patient for patient_name 'unique_value' this year?","doc = frappe.get_doc(""Patient"", filters={""patient_name"": ""12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
item doc description 'sample_value' this year?,"doc = frappe.get_doc(""Item"", filters={""description"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the customer document where mobile_no is 'unique_value'.,"doc = frappe.get_doc(""Customer"", filters={""mobile_no"": ""Open""})
print(doc)"
Retrieve the job opening document where number_of_positions is 'new_unique_value'?,"doc = frappe.get_doc(""Job Opening"", filters={""number_of_positions"": ""new_High""})
print(doc)"
Retrieve the sales order document where customer is 'test_value'.,"doc = frappe.get_doc(""Sales Order"", filters={""customer"": ""Approved""})
print(doc)"
purchase invoice doc total 'sample_value' this year?,"doc = frappe.get_doc(""Purchase Invoice"", filters={""total"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
batch doc for batch_qty 'unique_value'?,"doc = frappe.get_doc(""Batch"", filters={""batch_qty"": ""North""})
print(doc)"
Retrieve the lab test document where status is 'unique_value'.,"doc = frappe.get_doc(""Lab Test"", filters={""status"": ""High""})
print(doc)"
Get contact where first_name 'sample_value' from this year?,"doc = frappe.get_doc(""Contact"", filters={""first_name"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get serial no where warehouse 'test_value' from this year?,"doc = frappe.get_doc(""Serial No"", filters={""warehouse"": ""Electronics"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need hotel reservation for check_in 'sample_value' this year?","doc = frappe.get_doc(""Hotel Reservation"", filters={""check_in"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
hotel reservation doc room_type 'last_unique_value' this year?,"doc = frappe.get_doc(""Hotel Reservation"", filters={""room_type"": ""last_North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the leave application document where employee is 'sample_value'.,"doc = frappe.get_doc(""Leave Application"", filters={""employee"": ""sample_value""})
print(doc)"
Can u pull lab test doc for result 'unique_value'?,"doc = frappe.get_doc(""Lab Test"", filters={""result"": ""North""})
print(doc)"
Retrieve the project document where start_date is 'latest_unique_value'.,"doc = frappe.get_doc(""Project"", filters={""start_date"": ""latest_North""})
print(doc)"
Fetch meeting where agenda is 'sample_value'?,"doc = frappe.get_doc(""Meeting"", filters={""agenda"": ""sample_value""})
print(doc)"
Retrieve the job applicant document where position_applied is 'new_unique_value'?,"doc = frappe.get_doc(""Job Applicant"", filters={""position_applied"": ""new_High""})
print(doc)"
project doc start_date 'unique_value' this year?,"doc = frappe.get_doc(""Project"", filters={""start_date"": ""12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the task record where project is 'sample_value' and created this year?,"doc = frappe.get_doc(""Task"", filters={""project"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need permit application for approval_date 'unique_value' this year?","doc = frappe.get_doc(""Permit Application"", filters={""approval_date"": ""Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get subscription where subscription_id 'sample_value' from this year?,"doc = frappe.get_doc(""Subscription"", filters={""subscription_id"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Could you retrieve the chart of accounts record with ID 'DOC-7777'?,"doc = frappe.get_doc(""Chart of Accounts"", ""DOC-7777"", {""status"": ""Open"", ""priority"": ""High""})
print(doc, {""status"": ""Open"", ""priority"": ""High""})"
Fetch project where start_date is 'sample_value'?,"doc = frappe.get_doc(""Project"", filters={""start_date"": ""sample_value""})
print(doc)"
Fetch leave application where reason is 'sample_value'?,"doc = frappe.get_doc(""Leave Application"", filters={""reason"": ""sample_value""})
print(doc)"
Get timesheet where project 'new_unique_value' from this year?,"doc = frappe.get_doc(""Timesheet"", filters={""project"": ""new_North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get warehouse where warehouse_name 'unique_value' from this year?,"doc = frappe.get_doc(""Warehouse"", filters={""warehouse_name"": ""North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull lead doc for status 'sample_value'?,"doc = frappe.get_doc(""Lead"", filters={""status"": ""sample_value""})
print(doc)"
customer doc for customer_name 'unique_value'?,"doc = frappe.get_doc(""Customer"", filters={""customer_name"": ""High""})
print(doc)"
Get appointment where patient 'sample_value' from this year?,"doc = frappe.get_doc(""Appointment"", filters={""patient"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull customer doc for customer_group 'unique_value'?,"doc = frappe.get_doc(""Customer"", filters={""customer_group"": ""Open""})
print(doc)"
Could you retrieve the meeting record with ID 'DOC-5678'?,"doc = frappe.get_doc(""Meeting"", ""DOC-5678"", {""status"": ""Open"", ""priority"": ""High""})
print(doc, {""status"": ""Open"", ""priority"": ""High""})"
purchase invoice doc status 'sample_value' this year?,"doc = frappe.get_doc(""Purchase Invoice"", filters={""status"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
campaign doc end_date 'test_value' this year?,"doc = frappe.get_doc(""Campaign"", filters={""end_date"": ""Approved"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get project where end_date 'unique_value' from this year?,"doc = frappe.get_doc(""Project"", filters={""end_date"": ""North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get serial no where item_code 'test_value' from this year?,"doc = frappe.get_doc(""Serial No"", filters={""item_code"": ""5000"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need batch for batch_qty 'unique_value' this year?","doc = frappe.get_doc(""Batch"", filters={""batch_qty"": ""12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need warehouse for is_group 'test_value' this year?","doc = frappe.get_doc(""Warehouse"", filters={""is_group"": ""Active"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the employee record where date_of_joining is 'unique_value' and created this year?,"doc = frappe.get_doc(""Employee"", filters={""date_of_joining"": ""Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need prescription for duration 'final_unique_value' this year?","doc = frappe.get_doc(""Prescription"", filters={""duration"": ""final_North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Fetch task where assigned_to is 'sample_value'?,"doc = frappe.get_doc(""Task"", filters={""assigned_to"": ""sample_value""})
print(doc)"
Retrieve the chart of accounts document where currency is 'test_value'.,"doc = frappe.get_doc(""Chart of Accounts"", filters={""currency"": ""Active""})
print(doc)"
"Hey, need lab test for result 'sample_value' this year?","doc = frappe.get_doc(""Lab Test"", filters={""result"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the lab test document where patient is 'test_value'.,"doc = frappe.get_doc(""Lab Test"", filters={""patient"": ""Electronics""})
print(doc)"
Retrieve the purchase invoice document where total is 'sample_value'.,"doc = frappe.get_doc(""Purchase Invoice"", filters={""total"": ""sample_value""})
print(doc)"
Can u pull journal entry doc for account 'test_value'?,"doc = frappe.get_doc(""Journal Entry"", filters={""account"": ""Premium""})
print(doc)"
Can u pull stock entry doc for stock_entry_type 'unique_value'?,"doc = frappe.get_doc(""Stock Entry"", filters={""stock_entry_type"": ""Open""})
print(doc)"
Get work order where quantity 'new_unique_value' from this year?,"doc = frappe.get_doc(""Work Order"", filters={""quantity"": ""new_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull payment entry doc for transaction_date 'test_value'?,"doc = frappe.get_doc(""Payment Entry"", filters={""transaction_date"": ""5000""})
print(doc)"
"Hey, need job applicant for phone 'unique_value' this year?","doc = frappe.get_doc(""Job Applicant"", filters={""phone"": ""Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the permit application document where approval_date is 'new_unique_value'?,"doc = frappe.get_doc(""Permit Application"", filters={""approval_date"": ""new_High""})
print(doc)"
"Hey, can you grab e-commerce order doc 'DOC-8888'?","doc = frappe.get_doc(""E-commerce Order"", ""DOC-8888"", {""customer_group"": ""Retail"", ""territory"": ""North""})
print(doc, {""customer_group"": ""Retail"", ""territory"": ""North""})"
Can u pull patient doc for age 'unique_value'?,"doc = frappe.get_doc(""Patient"", filters={""age"": ""North""})
print(doc)"
Fetch audit report where findings is 'test_value'?,"doc = frappe.get_doc(""Audit Report"", filters={""findings"": ""Active""})
print(doc)"
Can you fetch the job opening record where status is 'sample_value' and created this year?,"doc = frappe.get_doc(""Job Opening"", filters={""status"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
permit application doc for applicant 'new_unique_value'?,"doc = frappe.get_doc(""Permit Application"", filters={""applicant"": ""new_North""})
print(doc)"
opportunity doc customer 'latest_unique_value' this year?,"doc = frappe.get_doc(""Opportunity"", filters={""customer"": ""latest_Open"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need expense claim for claim_id 'unique_value' this year?","doc = frappe.get_doc(""Expense Claim"", filters={""claim_id"": ""Open"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the audit report record where findings is 'test_value' and created this year?,"doc = frappe.get_doc(""Audit Report"", filters={""findings"": ""Approved"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need item for description 'latest_unique_value' this year?","doc = frappe.get_doc(""Item"", filters={""description"": ""latest_12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the audit report document where recommendations is 'unique_value'.,"doc = frappe.get_doc(""Audit Report"", filters={""recommendations"": ""Retail""})
print(doc)"
Can you fetch the journal entry record where remarks is 'latest_unique_value' and created this year?,"doc = frappe.get_doc(""Journal Entry"", filters={""remarks"": ""latest_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
