Corrected Customer Question,Corrected Frappe Query
Can you get me the Design Documentation data for ID lcupnperu5?,"frappe.get_doc(""Design Documentation"", ""lcupnperu5"")"
Show me the testing Details that corresponds to the id Ajdkdfdffhhes.,"frappe.get_doc(""testing"", ""Ajdkdfdffhhes"")"
I need the Enterprise Resource Plan document with the primary key '9830'.,"frappe.get_doc(""Enterprise Resource Plan"", ""9830"")"
I need the Warehouse document with the primary key '82i5p9t86d'.,"frappe.get_doc(""Warehouse"", ""82i5p9t86d"")"
Can you find the Client Record where assigned to is UserX?,"frappe.get_doc(""Client Record"", {""assigned_to"": ""UserX""})"
Show me the Description that corresponds to the ID 7141.,"frappe.get_doc(""Description"", ""7141"")"
Retrieve the Appointment details with key as 5402.,"frappe.get_doc(""Appointment"", ""5402"")"
I need the Bill of Materials document with the primary key '9746'.,"frappe.get_doc(""Bill of Materials"", ""9746"")"
Hot to get  the Invoice that corresponds to the iD 7495.,"frappe.get_doc(""Invoice"", ""7495"")"
Get the Event where the ID is '4379'.,"frappe.get_doc(""Event"", ""4379"")"
I wanted to get  the Income Statement  with the  id as '5390'.,"frappe.get_doc(""Income Statement"", ""5390"")"
Can you find the Discharge Report where source is Website?,"frappe.get_doc(""Discharge Report"", {""source"": ""Website""})"
Give   me the Contact details who  has id as 9239?,"frappe.get_doc(""Contact"", ""9239"")"
Fetch the Event where the ID is '4379'.,"frappe.get_doc(""Event"", ""4379"")"
Show me the Opportunity that corresponds to the ID 5373.,"frappe.get_doc(""Opportunity"", ""5373"")"
Fetch the Appraisal where the ID is '8889'.,"frappe.get_doc(""Appraisal"", ""8889"")"
Retrieve the Bill of Materials details with ID =1637.,"frappe.get_doc(""Bill of Materials"", ""1637"")"
Show me the Bill of Materials that corresponds to the id as 2084.,"frappe.get_doc(""Bill of Materials"", ""2084"")"
I need the Bed document with the primary key as '2432'.,"frappe.get_doc(""Bed"", ""2432"")"
Can you find the Business Case where priority is High?,"frappe.get_doc(""Business Case"", {""priority"": ""High""})"
Show me the Patient that corresponds to the ID 5514.,"frappe.get_doc(""Patient"", ""5514"")"
Fetch the Cash Flow Statement  where the ID is '6022'.,"frappe.get_doc(""Cash Flow Statement "", ""6022"")"
Which  Bed has the ID as '5190'.,"frappe.get_doc(""Bed"", ""5190"")"
Retrieve the Bill of Materials details with ID is 8117.,"frappe.get_doc(""Bill of Materials"", ""8117"")"
Retrieve the Program details which has  id= 3888.,"frappe.get_doc(""Program"", ""3888"")"
What is the Shipment where the ID is '8566'.,"frappe.get_doc(""Shipment"", ""8566"")"
can u get me  the Appointment document that has  the primary key is '3369'.,"frappe.get_doc(""Appointment"", ""3369"")"
I need the Issue document with the primary key '3767'.,"frappe.get_doc(""Issue"", ""3767"")"
Show me the Hospitalization that corresponds to the ID 8290.,"frappe.get_doc(""Hospitalization"", ""8290"")"
Can you get me the Fixed Asset Register that has ID :3440?,"frappe.get_doc(""Fixed Asset Register"", ""3440"")"
Can you find the Supplier Payment Agreement where invoice number is INV-789?,"frappe.get_doc(""Supplier Payment Agreement"", {""invoice_number"": ""INV-789""})"
I need the Order document with the primary key '3314'.,"frappe.get_doc(""Order"", ""3314"")"
I need the API Access Log document with the primary key as  '8933'.,"frappe.get_doc(""API Access Log"", ""8933"")"
Show me the Case File that corresponds to the ID is 2909.,"frappe.get_doc(""Case File"", ""2909"")"
Can you find the Company Registration Record where invoice number is INV-789?,"frappe.get_doc(""Company Registration Record"", {""invoice_number"": ""INV-789""})"
Can you get me the Subscription  that has ID 3574?,"frappe.get_doc(""Subscription "", ""3574"")"
Fetch the Manufacturing Details who has the ID  '9835'.,"frappe.get_doc(""Manufacturing Details"", ""9835"")"
Show me the Bank Account records  that corresponds to the ID 1992.,"frappe.get_doc(""Bank Account"", ""1992"")"
I wanted to get the Fees document with the  key '4983'.,"frappe.get_doc(""Fees"", ""4983"")"
I need the  Purchase Order Item document with the  name '9318'.,"frappe.get_doc("" Purchase Order Item"", ""9318"")"
Collect the Billing Statement details with ID 1965.,"frappe.get_doc(""Billing Statement"", ""1965"")"
Could u get me the Newsletter where the ID is '4042'.,"frappe.get_doc(""Newsletter"", ""4042"")"
Can you find the Performance Review where email is jane.doe@hdlsdh.com?,"frappe.get_doc(""Performance Review"", {""email"": ""jane.doe@hdlsdh.com""})"
Show me the Order details that corresponds to the ID 2334.,"frappe.get_doc(""Order"", ""2334"")"
Can you find the Business Impact Analysis where client is Bonzad Ltd.?,"frappe.get_doc(""Business Impact Analysis"", {""client"": ""Bonzad Ltd.""})"
I needed the Exam document details with the primary key '7253'.,"frappe.get_doc(""Exam"", ""7253"")"
Can you find the Leave Summary where source is Website?,"frappe.get_doc(""Leave Summary"", {""source"": ""Website""})"
Please provide me with the lead that corresponds to ID hyjfuikek678.,"frappe.get_doc(""Salary Structure"", ""hyjfuikek678"")"
Show me the Supplier that corresponds to the ID 3338.,"frappe.get_doc(""Supplier"", ""3338"")"
Can you find the Payment Order where item code is ITM-543?,"frappe.get_doc(""Payment Order"", {""item_code"": ""ITM-543""})"
Can you fetch the Warehouse doctype where the name is 'ceh67hsj'.,"frappe.get_doc(""Warehouse"", ""ceh67hsj"")"
I need the Event document with the primary key '3963'.,"frappe.get_doc(""Event"", ""3963"")"
Show me the Exam that corresponds to the ID 5017.,"frappe.get_doc(""Exam"", ""5017"")"
Can you find the SMS Settings where priority is High?,"frappe.get_doc(""SMS Settings"", {""priority"": ""High""})"
Show me the Course that corresponds to the ID 5807.,"frappe.get_doc(""Course"", ""5807"")"
Can you find the Recruitment File where source is Website?,"frappe.get_doc(""Recruitment File"", {""source"": ""Website""})"
Fetch the Audit where the ID is given as '2876'.,"frappe.get_doc(""Audit"", ""2876"")"
Fetch the Loan data for the ID is '3599'.,"frappe.get_doc(""Loan"", ""3599"")"
Fetch the Recurring Invoice details  for ID is '5548'.,"frappe.get_doc(""Recurring Invoice"", ""5548"")"
Fetch the Exam where the ID is set as '4470'.,"frappe.get_doc(""Exam"", ""4470"")"
Can you find the Integration Request where client is BlueEdge IT Services Ltd.?,"frappe.get_doc(""Integration Request"", {""client"": ""BlueEdge IT Services Ltd.""})"
Can you get me the Address that has ID =2003?,"frappe.get_doc(""Address"", ""2003"")"
Can you find the Commercial Invoice where item code is ITM-543?,"frappe.get_doc(""Commercial Invoice"", {""item_code"": ""ITM-543""})"
Can you find the Note where email is john.doe@technova.com?,"frappe.get_doc(""Note"", {""email"": ""john.doe@technova.com""})"
I need the Credit Note document with the id  '3657'.,"frappe.get_doc(""Credit Note"", ""3657"")"
can u Fetch the Quotation where the ID is '4682'.,"frappe.get_doc(""Quotation"", ""4682"")"
Fetch the Tax Category details where the ID is '9807'.,"frappe.get_doc(""Tax Category"", ""9807"")"
I need the Loan document with the primary key '5440'.,"frappe.get_doc(""Loan"", ""5440"")"
please retrieve the Opportunity details with ID 6455.,"frappe.get_doc(""Opportunity"", ""6455"")"
I need the Patient document with the primary id '5452'.,"frappe.get_doc(""Patient"", ""5452"")"
I need the Fees document with the  key '9757'.,"frappe.get_doc(""Fees"", ""9757"")"
I need the Customer Group document with the primary key '8330'.,"frappe.get_doc(""Customer Group"", ""8330"")"
Can you find the Profile where project name is AlphaLaunch?,"frappe.get_doc(""Profile"", {""project_name"": ""AlphaLaunch""})"
Can you find the Bill of Materials where email is sales@cyberwave.io?,"frappe.get_doc(""Bill of Materials"", {""email"": ""sales@cyberwave.io""})"
Retrieve the GST/HST Statement details with ID = 2700.,"frappe.get_doc(""GST/HST Statement"", ""2700"")"
get me the Non-Conformance Report record that corresponds to the ID 3700.,"frappe.get_doc(""Non-Conformance Report"", ""3700"")"
Can you get me the Opportunity Summary that has ID 8703?,"frappe.get_doc(""Opportunity Summary"", ""8703"")"
Show me the Opportunity that corresponds to the ID 2686.,"frappe.get_doc(""Opportunity"", ""2686"")"
Retrieve the Communication details with ID 4085.,"frappe.get_doc(""Communication"", ""4085"")"
Can you get me the Record that has ID 5371?,"frappe.get_doc(""Record"", ""5371"")"
Fetch the Communication where the ID is '6128'.,"frappe.get_doc(""Communication"", ""6128"")"
Show me the Service Level Agreement (SLA) details that corresponds to the ID 1992.,"frappe.get_doc(""Service Level Agreement (SLA)"", ""1992"")"
I need the Bed document with the  key '2432'.,"frappe.get_doc(""Bed"", ""2432"")"
Fetch the Bed Data where the id is '3162'.,"frappe.get_doc(""Bed"", ""3162"")"
Fetch the Web Access Log Details where the ID is '3715'.,"frappe.get_doc(""Web Access Log"", ""3715"")"
Fetch the Purchase Taxes and Charges Template Details where the iD is '8965'.,"frappe.get_doc(""Purchase Taxes and Charges Template"", ""8965"")"
I need the Address Details with the primary key '8102'.,"frappe.get_doc(""Address"", ""8102"")"
Can you find the General Ledger Entry where item code is ITM-543?,"frappe.get_doc(""General Ledger Entry"", {""item_code"": ""ITM-543""})"
Fetch the Manufacturing Settings where the ID is '3048'.,"frappe.get_doc(""Manufacturing Settings"", ""3048"")"
Can you find the Bank Reconciliation Statement where supplier is XYZ Ltd.?,"frappe.get_doc(""Bank Reconciliation Statement"", {""supplier"": ""XYZ Ltd.""})"
Show me the Supplier that corresponds to the ID 4151.,"frappe.get_doc(""Supplier"", ""4151"")"
Can you get me the Newsletter data that has ID 2075?,"frappe.get_doc(""Newsletter"", ""2075"")"
Fetch the Communication Data where the ID is '7203'.,"frappe.get_doc(""Communication"", ""7203"")"
Show me the OAuth Authorization data that corresponds to the ID 9889.,"frappe.get_doc(""OAuth Authorization"", ""9889"")"
Show me the Patient that corresponds to the ID 3696.,"frappe.get_doc(""Patient"", ""3696"")"
Retrieve the Communication details that has id  1831.,"frappe.get_doc(""Communication"", ""1831"")"
Can you find the Stock Settings where employee id is EMP-1003?,"frappe.get_doc(""Stock Settings"", {""employee_id"": ""EMP-1003""})"
Show me the Exam that corresponds to the ID 8145.,"frappe.get_doc(""Exam"", ""8145"")"
Can you find the Stock Portfolio where department is Finance?,"frappe.get_doc(""Stock Portfolio"", {""department"": ""Finance""})"
Show me the Bill of Materials that corresponds to the ID 9865.,"frappe.get_doc(""Bill of Materials"", ""9865"")"
Can you find the Profit and Loss Statement where employee is EMP-567?,"frappe.get_doc(""Profit and Loss Statement"", {""employee"": ""EMP-567""})"
Can you get me the Opportunity that has ID 5114?,"frappe.get_doc(""Opportunity"", ""5114"")"
Can you find the Quality Review where item code is ITM-543?,"frappe.get_doc(""Quality Review"", {""item_code"": ""ITM-543""})"
Can you get me the Appointment that has ID 2209?,"frappe.get_doc(""Appointment"", ""2209"")"
Can you find the Supplier Payment Agreement where supplier is XYZ Ltd.?,"frappe.get_doc(""Supplier Payment Agreement"", {""supplier"": ""XYZ Ltd.""})"
I need the Timesheet document with the primary key 'c56ghyju'.,"frappe.get_doc(""Timesheet"", ""c56ghyju"")"
Retrieve the Communication details with ID arehu799.,"frappe.get_doc(""Communication"", ""arehu799"")"
Fetch the Information Document  data where the id= 'uijhdfehjjs'.,"frappe.get_doc(""Information Document "", ""uijhdfehjjs"")"
Can you get me the Supplier that has ID abghfjls?,"frappe.get_doc(""Supplier"", ""abghfjls"")"
can you Fetch the Event data where the ID is 'yusidovkdldl'.,"frappe.get_doc(""Event"", ""yusidovkdldl"")"
Get  the document of Student details with ID afghjkl.,"frappe.get_doc(""Student"", ""afghjkl"")"
Retrieve the Supplier details with key 7ejssdhf56dk.,"frappe.get_doc(""Supplier"", ""7ejssdhf56dk"")"
Retrieve the Event details with ID 9ejt3o9d6kfhgm.,"frappe.get_doc(""Event"", ""9ejt3o9d6kfhgm"")"
Can you get me the Appointment that has ID 9717?,"frappe.get_doc(""Appointment"", ""9717"")"
I need the Communication document with the primary key '82i5p9t86d'.,"frappe.get_doc(""Communication"", ""82i5p9t86d"")"
Can you find the Cash Flow Statement where employee is EMP-567?,"frappe.get_doc(""Cash Flow Statement"", {""employee"": ""EMP-567""})"
Show me the Serial No that corresponds to the ID 1jfdjkvd78sndbh.,"frappe.get_doc(""Serial No"", ""1jfdjkvd78sndbh"")"
Retrieve the Communication details with ID 7ksfiefi2dvhgv.,"frappe.get_doc(""Communication"", ""7ksfiefi2dvhgv"")"
Show me the Loan that corresponds to the ID 3742.,"frappe.get_doc(""Loan"", ""3742"")"
Can you find the Delivery Note Item where employee id is EMP-1003?,"frappe.get_doc(""Delivery Note Item"", {""employee_id"": ""EMP-1003""})"
Show me the Appraisal that corresponds to the ID 9255.,"frappe.get_doc(""Appraisal"", ""9255"")"
Can you get me the  Client that has ID 4778?,"frappe.get_doc("" Client"", ""4778"")"
I need the Address document with the primary key '1362'.,"frappe.get_doc(""Address"", ""1362"")"
Can you display the expense claim with number 'EXP-2025-0022'?,"frappe.get_doc('Expense Claim', 'EXP-2025-0022')"
Please show me the journal entry labeled 'JV-2025-0008'.,"frappe.get_doc('Journal Entry', 'JV-2025-0008')"
I need to see the material request with ID 'MR-2025-0045'.,"frappe.get_doc('Material Request', 'MR-2025-0045')"
Can you get me the Quotation that has ID 2038?,"frappe.get_doc(""Quotation"", ""2038"")"
Can you show me the details of the customer with ID 'CUST-0001'?,"frappe.get_doc('Customer', 'CUST-0001')"
I need to see the invoice with number 'INV-1005'.,"frappe.get_doc('Sales Invoice', 'INV-1005')"
Please provide the purchase order details for 'PO-2025-0003'.,"frappe.get_doc('Purchase Order', 'PO-2025-0003')"
Show me the profile of the employee with ID 'EMP-0023',"frappe.get_doc('Employee', 'EMP-0023')"
Can you fetch the item details for 'ITEM-00045'?,"frappe.get_doc('Item', 'ITEM-00045')"
Please provide details for the project named 'Website Redesign'.,"frappe.get_doc('Project', 'Website Redesign')"
Fetch the Quality Inspection where the ID is '2099'.,"frappe.get_doc(""Quality Inspection"", ""2099"")"
Can you get the details of the task 'TASK-01234'?,"frappe.get_doc('Task', 'TASK-01234')"
I need to see the delivery note with number 'DN-5678'.,"frappe.get_doc('Delivery Note', 'DN-5678')"
Fetch the Timesheet where the ID is '1842'.,"frappe.get_doc(""Timesheet"", ""1842"")"
I need the details of the stock entry 'STE-2025-0033'.,"frappe.get_doc('Stock Entry', 'STE-2025-0033')"
Could you provide the payment entry with ID 'PAY-2025-0017'?,"frappe.get_doc('Payment Entry', 'PAY-2025-0017')"
Can you get me the Timesheet that has ID 8833?,"frappe.get_doc(""Timesheet"", ""8833"")"
Please show me the timesheet labeled 'TS-2025-0009'.,"frappe.get_doc('Timesheet', 'TS-2025-0009')"
Can you display the asset details for 'ASSET-2025-0012'?,"frappe.get_doc('Asset', 'ASSET-2025-0012')"
I need the details of the subscription with ID 'SUB-2025-0004'.,"frappe.get_doc('Subscription', 'SUB-2025-0004')"
Could you provide the warranty claim numbered 'WC-2025-0006'?,"frappe.get_doc('Warranty Claim', 'WC-2025-0006')"
Can you show me the leave application submitted by 'EMP-0023' on '2025-03-15'?,"frappe.get_doc('Leave Application', {'employee': 'EMP-0023', 'posting_date': '2025-03-15'})"
I need to see the attendance record for 'EMP-0045' on '2025-02-27'.,"frappe.get_doc('Attendance', {'employee': 'EMP-0045', 'attendance_date': '2025-02-27'})"
Please provide the details of the training event titled 'Advanced Python Workshop'.,"frappe.get_doc('Training Event', 'Advanced Python Workshop')"
Can you get me the Contact that has ID 1363?,"frappe.get_doc(""Contact"", ""1363"")"
Show me the Error Log that corresponds to the ID 65defrgt67hyju.,"frappe.get_doc(""Error Log"", ""65defrgt67hyju"")"
Fetch the Commission Ledger Entry where the ID is '0dhfjsijske3'.,"frappe.get_doc(""Commission Ledger Entry"", ""0dhfjsijske3"")"
Can you find the ToDo where employee id is EMP-1003?,"frappe.get_doc(""ToDo"", {""employee_id"": ""EMP-1003""})"
Show me the Attendance that corresponds to the ID 2764.,"frappe.get_doc(""Attendance"", ""2764"")"
Can you get me the Timesheet that has ID 4171?,"frappe.get_doc(""Timesheet"", ""4171"")"
Show me the Patient that corresponds to the ID 8086.,"frappe.get_doc(""Patient"", ""8086"")"
I need the Appointment document with the primary key '5843'.,"frappe.get_doc(""Appointment"", ""5843"")"
Can you get me the Opportunity that has ID 1809?,"frappe.get_doc(""Opportunity"", ""1809"")"
Fetch the Notification where the ID is '0dhfjsijske3'.,"frappe.get_doc(""Notification"", ""0dhfjsijske3"")"
I need to get the Task document with the primary key '0daakfjdk3kdf'.,"frappe.get_doc(""Task"", ""0daakfjdk3kdf"")"
Show me the Address that corresponds to the ID 6620.,"frappe.get_doc(""Address"", ""6620"")"
Can you find the Company Registration Record where priority is High?,"frappe.get_doc(""Company Registration Record"", {""priority"": ""High""})"
Can you get me the Bed that has ID 9214?,"frappe.get_doc(""Bed"", ""9214"")"
Show me the Appointment that corresponds to the ID 1884.,"frappe.get_doc(""Appointment"", ""1884"")"
Retrieve the Program details with ID 1478.,"frappe.get_doc(""Program"", ""1478"")"
Can you find the Business Impact Analysis where department is Finance?,"frappe.get_doc(""Business Impact Analysis"", {""department"": ""Finance""})"
Can you get me the Exam that has ID 5407?,"frappe.get_doc(""Exam"", ""5407"")"
Can you get me the OAuth Bearer Token that has ID 2136?,"frappe.get_doc(""OAuth Bearer Token"", ""2136"")"
Retrieve the Event details with ID 6805.,"frappe.get_doc(""Event"", ""6805"")"
I need the Fees document with the primary key '4983'.,"frappe.get_doc(""Fees"", ""4983"")"
Retrieve the Course details with ID 1866.,"frappe.get_doc(""Course"", ""1866"")"
Show me the Supplier that corresponds to the ID 1255.,"frappe.get_doc(""Supplier"", ""1255"")"
Show me the Appointment that corresponds to the ID 5303.,"frappe.get_doc(""Appointment"", ""5303"")"
I need the Issue document with the primary key '9254'.,"frappe.get_doc(""Issue"", ""9254"")"
Fetch the Workflow where the ID is '4472'.,"frappe.get_doc(""Workflow"", ""4472"")"
Retrieve the Task details with ID 4520.,"frappe.get_doc(""Task"", ""4520"")"
Can you find the Manufacturing Workstation where email is sales@cyberwave.io?,"frappe.get_doc(""Manufacturing Workstation"", {""email"": ""sales@cyberwave.io""})"
Retrieve the Supplier details with ID 4198.,"frappe.get_doc(""Supplier"", ""4198"")"
Retrieve the Medical History details with ID 2740.,"frappe.get_doc(""Medical History"", ""2740"")"
Retrieve the Patient details with ID 1960.,"frappe.get_doc(""Patient"", ""1960"")"
Show me the System Configuration that corresponds to the ID 8404.,"frappe.get_doc(""System Configuration"", ""8404"")"
Show me the Newsletter that corresponds to the ID 6273.,"frappe.get_doc(""Newsletter"", ""6273"")"
Retrieve the Loan details with ID 7350.,"frappe.get_doc(""Loan"", ""7350"")"
Can you get me the Cheque Print Template that has ID 8085?,"frappe.get_doc(""Cheque Print Template"", ""8085"")"
Can you find the Webhook where employee id is EMP-1003?,"frappe.get_doc(""Webhook"", {""employee_id"": ""EMP-1003""})"
Fetch the Hospitalization where the ID is '3377'.,"frappe.get_doc(""Hospitalization"", ""3377"")"
,"frappe.get_doc(""Student"", ""6792"")"
Show me the Appraisal that corresponds to the ID 5988.,"frappe.get_doc(""Appraisal"", ""5988"")"
Retrieve the Data Sheet details with ID 7980.,"frappe.get_doc(""Data Sheet"", ""7980"")"
Can you get me the Grade that has ID 3335?,"frappe.get_doc(""Grade"", ""3335"")"
I need the Newsletter document with the primary key '4024'.,"frappe.get_doc(""Newsletter"", ""4024"")"
Can you find the POS Invoice where employee id is EMP-1003?,"frappe.get_doc(""POS Invoice"", {""employee_id"": ""EMP-1003""})"
Can you find the SMS Settings where department is Finance?,"frappe.get_doc(""SMS Settings"", {""department"": ""Finance""})"
Can you find the Material Transfer where email is support@quantumsoft.net?,"frappe.get_doc(""Material Transfer"", {""email"": ""support@quantumsoft.net""})"
Show me the Invoice that corresponds to the ID 7495.,"frappe.get_doc(""Invoice"", ""7495"")"
I need the Service Level Agreement document with the primary key '5302'.,"frappe.get_doc(""Service Level Agreement"", ""5302"")"
Show me the Student that corresponds to the ID 8382.,"frappe.get_doc(""Student"", ""8382"")"
Show me the Communication that corresponds to the ID 9412.,"frappe.get_doc(""Communication"", ""9412"")"
I need the Service Level Agreement document with the primary key '7085'.,"frappe.get_doc(""Service Level Agreement"", ""7085"")"
Can you find the Integration Request where assigned to is UserX?,"frappe.get_doc(""Integration Request"", {""assigned_to"": ""UserX""})"
Retrieve the Compliance Checklist details with ID 1267.,"frappe.get_doc(""Compliance Checklist"", ""1267"")"
I need the Student document with the primary key '6343'.,"frappe.get_doc(""Student"", ""6343"")"
Can you get me the Note that has ID 8221?,"frappe.get_doc(""Note"", ""8221"")"
Fetch the Opportunity where the ID is '3883'.,"frappe.get_doc(""Opportunity"", ""3883"")"
Can you get me the Bank Reconciliation Statement that has ID 8221?,"frappe.get_doc(""Bank Reconciliation Statement"", ""8221"")"
fetch the event where the ID is '1120'.,"frappe.get_doc(""Event"", ""1120"")"
Show me the Employee that corresponds to the ID 2417.,"frappe.get_doc(""Employee"", ""2417"")"
I need the Timesheet document with the primary key '9152'.,"frappe.get_doc(""Timesheet"", ""9152"")"
I need the Attendance document with the primary key '6835'.,"frappe.get_doc(""Attendance"", ""6835"")"
Fetch the Grade where the ID is '4784'.,"frappe.get_doc(""Grade"", ""4784"")"
Retrieve the Cost Center details with ID 9100.,"frappe.get_doc(""Cost Center"", ""9100"")"
Retrieve the Depreciation Schedule details with ID 7631.,"frappe.get_doc(""Depreciation Schedule"", ""7631"")"
Can you get me the Hospitalization that has ID 6482?,"frappe.get_doc(""Hospitalization"", ""6482"")"
Can you get me the Supplier that has ID 6249?,"frappe.get_doc(""Supplier"", ""6249"")"
Show me the Product Sheet that corresponds to the ID 6695.,"frappe.get_doc(""Product Sheet"", ""6695"")"
Fetch the Appointment where the ID is '1903'.,"frappe.get_doc(""Appointment"", ""1903"")"
Retrieve the Contact details with ID 1599.,"frappe.get_doc(""Contact"", ""1599"")"
Can you get me the Timesheet that has ID 5599?,"frappe.get_doc(""Timesheet"", ""5599"")"
Can you get me the Patient that has ID 3274?,"frappe.get_doc(""Patient"", ""3274"")"
Show me the Address that corresponds to the ID 3645.,"frappe.get_doc(""Address"", ""3645"")"
Retrieve the Item details with ID 2700.,"frappe.get_doc(""Item"", ""2700"")"
Show me the Event that corresponds to the ID 4762.,"frappe.get_doc(""Event"", ""4762"")"
Can you get me the Opportunity that has ID 3880?,"frappe.get_doc(""Opportunity"", ""3880"")"
Get supplier details for Oak Traders.,"frappe.get_doc(""Supplier"", ""Oak Traders"")"
Fetch the Timesheet where the ID is '3550'.,"frappe.get_doc(""Timesheet"", ""3550"")"
Show me the Exam that corresponds to the ID 2811.,"frappe.get_doc(""Exam"", ""2811"")"
Can u get me the details of the supplier 'Hot Wheels  Co.'.,"frappe.get_doc('Supplier', 'Hot Wheels  Co.')"
Fetch item details for item code ITEM-0008.,"frappe.get_doc(""Item"", ""ITEM-0008"")"
Which is the supplier whose sup_id is 65h79d and whose status is open.,"frappe.get_doc(""Supplier"", {""sup_id"": ""65h79d"", ""status"": ""Open""})"
Could you provide the maintenance schedule for 'MS-2025-0007'?,"frappe.get_doc('Maintenance Schedule', 'MS-2025-0007')"
I need the quality inspection report for 'QI-2025-0014'.,"frappe.get_doc('Quality Inspection', 'QI-2025-0014')"
Can you display the payment request with reference 'PR-2025-0009'?,"frappe.get_doc('Payment Request', 'PR-2025-0009')"
Please show me the delivery note labeled 'DN-2025-0021'.,"frappe.get_doc('Delivery Note', 'DN-2025-0021')"
Could you provide the purchase order with ID 'PO-2025-0038'?,"frappe.get_doc('Purchase Order', 'PO-2025-0038')"
Can you get me the Task that has ID 2539?,"frappe.get_doc(""Task"", ""2539"")"
I need the details of the supplier 'Teak Builders Co.'.,"frappe.get_doc('Supplier', 'Teak Builders Co.')"
Can you get me the Opportunity that has ID 7037?,"frappe.get_doc(""Opportunity"", ""7037"")"
Can you find the CRM where customer name is John Doe?,"frappe.get_doc(""CRM"", {""customer_name"": ""John Doe""})"
Can you display the support ticket with number 'SUPP-2025-0042'?,"frappe.get_doc('Issue', 'SUPP-2025-0042')"
Fetch the Student where the ID is '5570'.,"frappe.get_doc(""Student"", ""5570"")"
Please provide the customer feedback submitted by 'cust_feedback_2025_03'.,"frappe.get_doc('Customer Feedback', 'cust_feedback_2025_03')"
Can you find the Stock Portfolio where item code is ITM-543?,"frappe.get_doc(""Stock Portfolio"", {""item_code"": ""ITM-543""})"
Can you find the Supplier Payment Agreement where priority is High?,"frappe.get_doc(""Supplier Payment Agreement"", {""priority"": ""High""})"
Show me the Supplier that corresponds to the ID 5714.,"frappe.get_doc(""Supplier"", ""5714"")"
Retrieve the Module Def details with ID 6315.,"frappe.get_doc(""Module Def"", ""6315"")"
Fetch the Customer Feedback where the ID is '1552'.,"frappe.get_doc(""Customer Feedback"", ""1552"")"
I need information on the project named 'Website Redesign'.,"frappe.get_doc('Project', 'Website Redesign')"
Can you show me the details of the task with ID 'TASK-2025-0015'?,"frappe.get_doc('Task', 'TASK-2025-0015')"
Could you provide the warranty claim with number 'WC-2025-0010'?,"frappe.get_doc('Warranty Claim', 'WC-2025-0010')"
I need the subscription details for 'SUB-2025-0008'.,"frappe.get_doc('Subscription', 'SUB-2025-0008')"
I need the Appraisal document with the primary key '9404'.,"frappe.get_doc(""Appraisal"", ""9404"")"
Can you display the asset details for 'asset-2025-0025'?,"frappe.get_doc('Asset', 'ASSET-2025-0025')"
