Corrected Customer Question,Corrected Frappe Query,Query Length,Category,Conversational Question
"Retrieve the first 20 Purchase Order records where subject is Lead, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""subject"": ""Lead""}, fields=[""priority"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",157,Complex,"Can you fetch the first 20 Purchase Order records where subject is Lead, sorted by status in descending order, starting from the 10th record."
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Find all Employee records placed between 2022-04-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Employee"", filters={[""status"", ""between"", [""2022-04-01"", ""2024-12-31""})",88,Medium,Find all Employee records placed between 2022-04-01 and 2024-12-31 (both inclusive).
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
"Retrieve a list of all Task records where date_submitted is Pending, fetching status and creation, sorted by creation in descending order.","frappe.get_list(""Task"", filters={""date_submitted"": ""Pending""}, fields=[""status"", ""creation""], order_by=""creation desc"")",119,Medium,"Can you fetch a list of all Task records where date_submitted is Pending, fetching status and creation, sorted by creation in descending order."
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve the first 20 Task records where status is Lead, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""status"": ""Lead""}, fields=[""count"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",145,Complex,"Can you fetch the first 20 Task records where status is Lead, sorted by subject in descending order, starting from the 10th record."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Find all Task records where count contains Director.,"frappe.get_list(""Task"", filters={""count"": [""like"", ""%Director%""]})",66,Medium,Find all Task records where count contains Director.
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get a list of all Event Sponsorship records.,"frappe.get_list(""Event Sponsorship"", fields=[""name""])",53,Simple,Can you list all Event Sponsorship records.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Get a list of all Corporate Social Responsibility records.,"frappe.get_list(""Corporate Social Responsibility"", fields=[""name""])",67,Medium,Can you list all Corporate Social Responsibility records.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get a list of all Client Meeting records.,"frappe.get_list(""Client Meeting"", fields=[""name""])",50,Simple,Can you list all Client Meeting records.
"Retrieve the first 20 Task records where status is Supervisor, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""status"": ""Supervisor""}, fields=[""priority"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",154,Complex,"Can you fetch the first 20 Task records where status is Supervisor, sorted by subject in descending order, starting from the 10th record."
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Find all Sales Order records placed between 2023-06-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Sales Order"", filters={[""transaction_date"", ""between"", [""2023-06-01"", ""2023-03-31""})",101,Medium,Find all Sales Order records placed between 2023-06-01 and 2023-03-31 (both inclusive).
"Retrieve a list of all Leave Application records where status is Pending, fetching subject and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Leave Application"", filters={""status"": ""Pending""}, fields=[""subject"", ""date_submitted""], order_by=""date_submitted desc"")",137,Complex,"Can you fetch a list of all Leave Application records where status is Pending, fetching subject and date_submitted, sorted by date_submitted in descending order."
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve a list of all Expense Claim records where status is Approved, fetching creation and creation, sorted by creation in descending order.","frappe.get_list(""Expense Claim"", filters={""status"": ""Approved""}, fields=[""creation"", ""creation""], order_by=""creation desc"")",123,Complex,"Can you fetch a list of all Expense Claim records where status is Approved, fetching creation and creation, sorted by creation in descending order."
Find all Purchase Order records placed between 2023-01-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""transaction_date"", ""between"", [""2023-01-01"", ""2024-12-31""})",104,Medium,Find all Purchase Order records placed between 2023-01-01 and 2024-12-31 (both inclusive).
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Find all Sales Order records placed between 2022-04-01 and 2023-12-31 (both inclusive).,"frappe.get_list(""Sales Order"", filters={[""priority"", ""between"", [""2022-04-01"", ""2023-12-31""})",93,Medium,Find all Sales Order records placed between 2022-04-01 and 2023-12-31 (both inclusive).
"Retrieve the first 20 Sales Order records where count is Director, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""count"": ""Director""}, fields=[""designation"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",179,Complex,"Can you fetch the first 20 Sales Order records where count is Director, sorted by transaction_date in descending order, starting from the 10th record."
"Retrieve the first 20 Purchase Order records where status is Director, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""status"": ""Director""}, fields=[""count"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",161,Complex,"Can you fetch the first 20 Purchase Order records where status is Director, sorted by priority in descending order, starting from the 10th record."
Find all Stock Entry records placed between 2024-01-01 and 2023-12-31 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""priority"", ""between"", [""2024-01-01"", ""2023-12-31""})",93,Medium,Find all Stock Entry records placed between 2024-01-01 and 2023-12-31 (both inclusive).
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
"Retrieve the first 20 Stock Entry records where priority is Manager, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""priority"": ""Manager""}, fields=[""count"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",155,Complex,"Can you fetch the first 20 Stock Entry records where priority is Manager, sorted by status in descending order, starting from the 10th record."
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get a list of all Retail Inventory records.,"frappe.get_list(""Retail Inventory"", fields=[""name""])",52,Simple,Can you list all Retail Inventory records.
"Retrieve the first 20 Purchase Order records where count is Lead, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""count"": ""Lead""}, fields=[""priority"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",157,Complex,"Can you fetch the first 20 Purchase Order records where count is Lead, sorted by subject in descending order, starting from the 10th record."
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve the first 20 Sales Order records where designation is Lead, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""designation"": ""Lead""}, fields=[""count"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",159,Complex,"Can you fetch the first 20 Sales Order records where designation is Lead, sorted by priority in descending order, starting from the 10th record."
"Retrieve a list of all Expense Claim records where creation is Open, fetching subject and subject, sorted by subject in descending order.","frappe.get_list(""Expense Claim"", filters={""creation"": ""Open""}, fields=[""subject"", ""subject""], order_by=""subject desc"")",118,Medium,"Can you fetch a list of all Expense Claim records where creation is Open, fetching subject and subject, sorted by subject in descending order."
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve a list of all Timesheet records where subject is Open, fetching subject and status, sorted by status in descending order.","frappe.get_list(""Timesheet"", filters={""subject"": ""Open""}, fields=[""subject"", ""status""], order_by=""status desc"")",111,Medium,"Can you fetch a list of all Timesheet records where subject is Open, fetching subject and status, sorted by status in descending order."
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Find all Purchase Order records placed between 2023-01-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""status"", ""between"", [""2023-01-01"", ""2024-06-30""})",94,Medium,Find all Purchase Order records placed between 2023-01-01 and 2024-06-30 (both inclusive).
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
"Retrieve a list of all Issue records where status is Open, fetching creation and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Issue"", filters={""status"": ""Open""}, fields=[""creation"", ""date_submitted""], order_by=""date_submitted desc"")",123,Complex,"Can you fetch a list of all Issue records where status is Open, fetching creation and date_submitted, sorted by date_submitted in descending order."
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve the first 20 Stock Entry records where priority is Director, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""priority"": ""Director""}, fields=[""designation"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",162,Complex,"Can you fetch the first 20 Stock Entry records where priority is Director, sorted by status in descending order, starting from the 10th record."
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve the first 20 Purchase Order records where priority is Lead, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""priority"": ""Lead""}, fields=[""priority"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",178,Complex,"Can you fetch the first 20 Purchase Order records where priority is Lead, sorted by transaction_date in descending order, starting from the 10th record."
"Retrieve a list of all Timesheet records where creation is Pending, fetching creation and creation, sorted by creation in descending order.","frappe.get_list(""Timesheet"", filters={""creation"": ""Pending""}, fields=[""creation"", ""creation""], order_by=""creation desc"")",120,Medium,"Can you fetch a list of all Timesheet records where creation is Pending, fetching creation and creation, sorted by creation in descending order."
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve a list of all Leave Application records where status is Pending, fetching date_submitted and status, sorted by status in descending order.","frappe.get_list(""Leave Application"", filters={""status"": ""Pending""}, fields=[""date_submitted"", ""status""], order_by=""status desc"")",128,Complex,"Can you fetch a list of all Leave Application records where status is Pending, fetching date_submitted and status, sorted by status in descending order."
